uniref90,taxa,RPK
UniRef90_unknown,g__Parabacteroides.s__Parabacteroides_goldsteinii,77695.0
UniRef90_unknown,g__Clostridium.s__Clostridium_sp_ASF356,1829.0
UniRef90_unknown,g__Blautia.s__Blautia_producta,1289.0
UniRef90_unknown,g__Mucispirillum.s__Mucispirillum_schaedleri,301.0
UniRef90_unknown,g__Lactobacillus.s__Lactobacillus_murinus,113.0
UniRef90_V1EAX6,unclassified,38518.0
UniRef90_Q4YHT4,unclassified,6323.817881605
UniRef90_Q4YHX4,unclassified,6104.649919805501
UniRef90_Q4YA27,unclassified,5793.5206991202
UniRef90_A8RZB5,unclassified,5414.3462228324
UniRef90_Q4YI61,unclassified,5100.8668575451
UniRef90_Q4YHF0,unclassified,4826.654662630201
UniRef90_S7K4H7,unclassified,3849.5289930334
UniRef90_D1KAJ3,unclassified,3706.1852887596997
UniRef90_D0TKA0,unclassified,3277.7137881065
UniRef90_Q4YHW5,unclassified,3084.6308244359
UniRef90_Q7R6V5,unclassified,3025.2192002519
UniRef90_S0GJR7,g__Parabacteroides.s__Parabacteroides_goldsteinii,2687.0
UniRef90_Q7R7S4,unclassified,2632.4411049951
UniRef90_A7ACF2,unclassified,2598.8287522585997
UniRef90_Q4YA17,unclassified,2454.0916189356
UniRef90_Q4YJU8,unclassified,2364.4752486376997
UniRef90_Q4YI79,unclassified,2070.5319992346
UniRef90_A7AJP8,unclassified,2039.9072785042001
UniRef90_Q7R7L8,unclassified,2002.0479611847
UniRef90_B5CUP9,unclassified,1999.3670802595002
UniRef90_Q4YHQ3,unclassified,1896.4502690384
UniRef90_A7SPZ4,unclassified,1890.0087293257998
UniRef90_UPI000156FA79,unclassified,1856.8453520076
UniRef90_Q4X813,unclassified,1845.3342506613
UniRef90_A5ZQM1,unclassified,1743.3858601282998
UniRef90_B1QRR6,unclassified,1733.2015893052999
UniRef90_A5ZLI4,unclassified,1723.3988713675
UniRef90_Q7R7M0,unclassified,1705.1312044866
UniRef90_Q3RFD0,unclassified,1703.2999053801998
UniRef90_Q4YK64,unclassified,1675.5133095324
UniRef90_Q4YJ71,unclassified,1614.3355392819
UniRef90_E0MU53,unclassified,1582.5317716615
UniRef90_Q4YH89,unclassified,1563.3599433420002
UniRef90_Q4X778,unclassified,1494.4357856567
UniRef90_Q4YHX5,unclassified,1471.7351906126
UniRef90_Q7R7D8,unclassified,1446.1453581522
UniRef90_Q4YHQ2,unclassified,1274.1722253388
UniRef90_Q4XDB9,unclassified,1206.07244459
UniRef90_R9J210,unclassified,1191.2794695564
UniRef90_B3C522,unclassified,1133.0181599471
UniRef90_Q4YD51,unclassified,1108.7151205958
UniRef90_Q4X6X1,unclassified,1090.3892942577
UniRef90_P11369,unclassified,1073.5004946725999
UniRef90_Q4YD76,unclassified,1044.1027195652
UniRef90_A5KRL1,unclassified,1013.1685347542999
UniRef90_Q7R6U7,unclassified,964.2176607952
UniRef90_D3Z496,unclassified,959.1885585592
UniRef90_Q4XG51,unclassified,901.2238845134
UniRef90_Q4YAG3,unclassified,893.1801898767
UniRef90_Q3U156,unclassified,866.0604454088001
UniRef90_D4CI29,unclassified,857.0
UniRef90_W1YU10,unclassified,847.1224730196001
UniRef90_A8S6F0,unclassified,846.1722341581
UniRef90_A7VD49,unclassified,772.6572692063
UniRef90_K5ZBK6,g__Parabacteroides.s__Parabacteroides_goldsteinii,760.0
UniRef90_Q7R7C2,unclassified,748.7575846002001
UniRef90_UPI0001DE5DFE,unclassified,740.7516052744
UniRef90_F1YWH0,unclassified,720.9316256553
UniRef90_Q4YDX5,unclassified,719.8042526879
UniRef90_E0XVH4,unclassified,705.0
UniRef90_G9S8W7,unclassified,703.3578190936
UniRef90_K5Z513,g__Parabacteroides.s__Parabacteroides_goldsteinii,701.0
UniRef90_A7AJP9,unclassified,700.0
UniRef90_J3QP72,unclassified,671.3916372219
UniRef90_Q4YK81,unclassified,671.221045262
UniRef90_K6A1K8,g__Parabacteroides.s__Parabacteroides_goldsteinii,648.0
UniRef90_K0WTB3,unclassified,644.4943215512001
UniRef90_Q8A6A5,g__Parabacteroides.s__Parabacteroides_goldsteinii,636.0
UniRef90_K6AYS9,g__Parabacteroides.s__Parabacteroides_goldsteinii,601.0
UniRef90_K6AYS9,unclassified,2.0
UniRef90_H6SIB1,unclassified,601.4835039195
UniRef90_Q7R857,unclassified,598.236339975
UniRef90_Q7R6U8,unclassified,587.1066463999
UniRef90_K7F1M8,unclassified,583.6882422433
UniRef90_Q4Y9P6,unclassified,574.9340464407
UniRef90_A7B5X1,unclassified,570.4910545847
UniRef90_UPI00015BEA70,unclassified,566.9797132634
UniRef90_F9WBA8,unclassified,564.6760068221
UniRef90_D3Z1I8,unclassified,552.8133705878
UniRef90_D9UEL3,unclassified,542.0635569558
UniRef90_D3Z1I6,unclassified,541.5167012548001
UniRef90_N2B405,g__Parabacteroides.s__Parabacteroides_goldsteinii,538.0
UniRef90_D1KAJ2,unclassified,518.5408166073
UniRef90_N1ZDX1,g__Clostridium.s__Clostridium_sp_ASF356,510.0
UniRef90_W1WT70,unclassified,508.5808232952
UniRef90_D4VKI7,g__Parabacteroides.s__Parabacteroides_goldsteinii,500.0
UniRef90_A0A026VT83,unclassified,479.83685985010004
UniRef90_Q7R7J3,unclassified,475.6040850595
UniRef90_N2AR07,g__Parabacteroides.s__Parabacteroides_goldsteinii,465.0
UniRef90_N2B0W2,g__Parabacteroides.s__Parabacteroides_goldsteinii,464.0
UniRef90_UPI0001532979,unclassified,450.3102636172
UniRef90_W8YNF3,unclassified,445.4152453814
UniRef90_A7VEU0,unclassified,435.28339512879995
UniRef90_K5ZUF0,g__Parabacteroides.s__Parabacteroides_goldsteinii,415.0
UniRef90_A8ST13,unclassified,414.9727080608
UniRef90_J3QMM9,unclassified,413.85599914510004
UniRef90_W1I8G9,unclassified,413.2729669643
