genus,reads
g__Pedosphaera,3.0
g__Penicillium,4.0
g__Peptoniphilus,1.0
g__Peptostreptococcaceae_noname,279.0
g__Perkinsus,164.0
g__Phascolarctobacterium,2.0
g__Phenylobacterium,5.0
g__Planctomycetaceae_noname,2.0
g__Plasmodium,19780.0
g__Podospora,24.0
g__Polaromonas,1.0
g__Polynucleobacter,10.0
g__Porphyrobacter,1.0
g__Porphyromonas,419.0
g__Prevotella,637.0
g__Promicromonospora,1.0
g__Propionibacterium,210.0
g__Providencia,1.0
g__Pseudacidovorax,3.0
g__Pseudoalteromonas,4.0
g__Pseudoflavonifractor,25.0
g__Pseudomonas,112.0
g__Pseudonocardia,1.0
g__Pseudoramibacter,62.0
g__Pseudovibrio,16.0
g__Pseudoxanthomonas,4.0
g__Pyrenophora,2.0
g__Ralstonia,13.0
g__Ramlibacter,1.0
g__Rhizobium,13.0
g__Rhodanobacter,1.0
g__Rhodobacter,3.0
g__Rhodococcus,260.0
g__Rhodopirellula,2.0
g__Rhodopseudomonas,23.0
g__Rhodospirillales_noname,15.0
g__Rhodospirillum,14.0
g__Rickettsia,3.0
g__Riemerella,2.0
g__Roseburia,79.0
g__Roseobacter,5.0
g__Roseomonas,4.0
g__Rothia,1.0
g__Rubrivivax,11.0
g__Ruegeria,1.0
g__Ruminococcaceae_noname,1.0
g__Ruminococcus,173.0
g__Saccharomyces,29.0
g__Salmonella,33.0
g__Scheffersomyces,2.0
g__Schizophyllum,17.0
g__Schizosaccharomyces,1.0
g__Sclerotinia,74.0
g__Scytonema,54.0
g__Selenomonas,463.0
g__Serinicoccus,4.0
g__Serratia,1.0
g__Shewanella,10.0
g__Shigella,291.0
g__Shuttleworthia,6.0
g__Sinorhizobium,93.0
g__Slackia,8.0
g__Sorangium,2.0
g__Sordaria,2.0
g__Sphaerochaeta,2.0
g__Sphingobium,7.0
g__Sphingomonas,36.0
g__Sphingopyxis,2.0
g__Spirochaeta,2.0
g__Staphylococcus,125.0
g__Stenotrophomonas,11.0
g__Streptococcus,664.0
g__Streptomyces,17.0
g__Subdoligranulum,19.0
g__Sutterella,65.0
g__Syntrophus,1.0
g__Tannerella,1.0
g__Teredinibacter,1.0
g__Tetrahymena,1.0
g__Tetrasphaera,9.0
g__Thalassiosira,314.0
g__Thauera,1.0
g__Thermus,1.0
g__Thielavia,19.0
g__Thioalkalivibrio,1.0
g__Thiobacillus,3.0
g__Thiomonas,4.0
g__Tistrella,1.0
g__Toxoplasma,5.0
g__Treponema,2.0
g__Trichomonas,1.0
g__Trichophyton,7.0
g__Trypanosoma,3.0
g__Tuber,14.0
g__Ustilago,11.0
g__Varibaculum,1.0
g__Variovorax,44.0
g__Verminephrobacter,1.0
g__Verticillium,1.0
g__Vibrio,50.0
g__Vibrionales_noname,3.0
g__Weissella,1.0
g__Xanthomonas,10.0
g__Xylella,4.0
g__Yarrowia,27.0
g__Yersinia,150.0
g__Youngiibacter,6.0
g__Zygosaccharomyces,2.0
g__Zymoseptoria,12.0
