taxa,RPK
g__Betaretrovirus.s__Mouse_mammary_tumor_virus,1.0
g__Blautia.s__Blautia_producta,7553.0
g__Clostridium.s__Clostridium_sp_ASF356,40917.0
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,4.0
g__Lactobacillus.s__Lactobacillus_murinus,1476.0
g__Mucispirillum.s__Mucispirillum_schaedleri,11164.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,371573.0
