Taxonomy,Length,Reads,RPK
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina mazei,7215,64,70.41958945154936
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina sp. MTP4,3312,6,3.6231884057971016
root;k_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina vacuolata,1965,48,24.427480916030532
root;k_Archaea;p_Euryarchaeota;c_Thermococci;o_Thermococcales;f_Thermococcaceae;g_Pyrococcus;s_Pyrococcus furiosus,966,2,2.070393374741201
root;k_Archaea;p_Euryarchaeota;c_Thermococci;o_Thermococcales;f_Thermococcaceae;g_Thermococcus;s_Thermococcus kodakarensis,912,47,51.53508771929825
root;k_Archaea;p_Euryarchaeota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomassiliicoccaceae;g_Methanomassiliicoccus;s_Candidatus Methanomassiliicoccus intestinalis,2889,22,7.615091727241261
root;k_Archaea;p_Thaumarchaeota,3993,3,2.275470964254252
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote KM3_43_G12,732,1,1.366120218579235
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote KM3_51_A05,2718,6,4.482169643132838
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote KM3_54_G11,1641,1,0.6093845216331505
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote KM3_67_E04,714,1,1.400560224089636
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote SAT1000_10_G09,3087,2,0.647878198898607
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote SAT1000_22_D06,3297,1,0.3033060357901122
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_;s_uncultured marine thaumarchaeote SAT1000_50_F07,846,1,1.1820330969267139
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_Candidatus Nitrosopelagicus;s_Candidatus Nitrosopelagicus brevis,1584,3,4.4053766084747155
root;k_Archaea;p_Thaumarchaeota;c_;o_;f_;g_Candidatus Nitrosotalea;s_Candidatus Nitrosotalea devanaterra,2622,2,1.6369524216220064
root;k_Archaea;p_Thaumarchaeota;c_;o_Nitrosopumilales;f_Nitrosopumilaceae;g_Nitrosopumilus;s_Candidatus Nitrosopumilus piranensis,2817,43,30.956464918729072
root;k_Archaea;p_Thaumarchaeota;c_;o_Nitrosopumilales;f_Nitrosopumilaceae;g_Nitrosopumilus;s_Candidatus Nitrosopumilus sediminis,3768,5,3.277579205148595
root;k_Archaea;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Candidatus Nitrosocosmicus;s_Candidatus Nitrocosmicus oleophilus,2610,122,135.92950673487584
root;k_Archaea;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrososphaerales;f_Nitrososphaeraceae;g_Nitrososphaera;s_Nitrososphaera viennensis,2433,1,0.41101520756267984
root;k_Bacteria,534696,7634,12078.326116166309
root;k_Bacteria;p_;c_;o_;f_;g_;s_bacterium NLAE-zl-C262,1245,739,593.5742971887549
root;k_Bacteria;p_;c_;o_;f_;g_;s_bacterium endosymbiont of Eucampsipoda inermis,1641,1,0.6093845216331505
root;k_Bacteria;p_;c_;o_;f_;g_;s_candidate division SR1 bacterium RAAC1_SR1_1,1194,3,2.512562814070352
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,250188,69967,124737.74137483649
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 15m04,4548,135,59.66232637529103
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 1i11,11226,284,204.9231853821527
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 22g15,6462,607,405.18113722394213
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 2M03,453,2,4.415011037527593
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium AZOG21036,2589,2,0.772499034376207
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Ad_087_C16_contig1,567,11,19.40035273368607
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig00564,318,1,3.144654088050314
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig00600,765,1,1.3071895424836601
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig00640,1203,21,17.456359102244388
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig03615,906,1,1.1037527593818983
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Contig18770,1632,81,49.63235294117647
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FC3,283,8,28.26855123674912
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FPPS_57A9,429,1,2.331002331002331
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium HF0070_01M22,1065,2,1.8779342723004695
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium HF0770_08F21,768,1,1.3020833333333333
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium OMZ60_14B20,1161,3,2.5839793281653747
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Rlip1,1992,3,3.0120481927710845
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium URE4,1314,26,19.7869101978691
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium W5-47b,780,1,1.282051282051282
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium contig00620,1590,99,62.264150943396224
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium fosmid pJB71G8,1290,1,0.7751937984496123
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium gwc2_scaffold_14545,849,2,2.3557126030624262
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium gwd2_scaffold_170,1881,1,0.531632110579479
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium gwe2_scaffold_4424,972,2,2.05761316872428
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured marine bacterium 580,1182,5,4.230118443316413
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured marine bacterium EB0_39H12,1140,2,1.7543859649122808
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured marine bacterium EB0_50A10,183,1,5.46448087431694
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured murine large bowel bacterium BAC 31B,1521,2,2.864115513676575
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,264,2,7.575757575757575
root;k_Bacteria;p_Acidobacteria;c_;o_;f_;g_;s_Acidobacteria bacterium Mor1,6486,25,12.24505770954124
root;k_Bacteria;p_Acidobacteria;c_Blastocatellia;o_;f_;g_Chloracidobacterium;s_Chloracidobacterium thermophilum,735,1,1.3605442176870748
root;k_Bacteria;p_Actinobacteria;c_Acidimicrobiia;o_Acidimicrobiales;f_Acidimicrobiaceae;g_Ilumatobacter;s_Ilumatobacter coccineus,951,55,57.83385909568875
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,11667,287,151.49481614570678
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_;g_;s_uncultured actinomycete,273,1,3.663003663003663
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,1950,2,2.0512820512820515
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium adolescentis,324,1,3.0864197530864197
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium longum,2631,19,21.762580655395734
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Gardnerella;s_Gardnerella vaginalis,3507,2,0.570287995437696
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Catenulisporales;f_Catenulisporaceae;g_Catenulispora;s_Catenulispora acidiphila,435,4,9.195402298850574
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales,1131,90,79.57559681697613
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium,1695,1,0.5899705014749262
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium crudilactis,2337,24,10.269576379974325
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium diphtheriae,3351,1,0.29841838257236647
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium doosanense,1839,53,28.820010875475802
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium imitans,2934,1,0.34083162917518744
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium maris,1710,32,18.71345029239766
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium ulcerans,2856,1,0.350140056022409
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium uterequi,435,1,2.2988505747126435
root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Gordoniaceae;g_Gordonia;s_Gordonia phthalatica,1488,1,0.6720430107526881
