taxa,RPK,length,read_count
g__Betaretrovirus.s__Mouse_mammary_tumor_virus,1.0,0.0,0.0
g__Blautia.s__Blautia_producta,7553.0,719453.0,6532.629000000009
g__Clostridium.s__Clostridium_sp_ASF356,40917.0,2136959.0,37163.722000000154
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,4.0,1194.0,4.776
g__Lactobacillus.s__Lactobacillus_murinus,1476.0,221706.0,990.806999999999
g__Mucispirillum.s__Mucispirillum_schaedleri,11164.0,1256211.0,11613.223000000004
g__Parabacteroides.s__Parabacteroides_goldsteinii,371573.0,4506384.0,335987.8119999985
unclassified,210839.999999928,771052.0,112570.34898710647
