taxa,RPK,percentage_rpk
UNMAPPED,2443977.0,79.15702160806403
g__Betaretrovirus.s__Mouse_mammary_tumor_virus,1.0,3.238861151641935e-05
g__Blautia.s__Blautia_producta,7553.0,0.2446311827835154
g__Clostridium.s__Clostridium_sp_ASF356,40917.0,1.3252448174173308
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,4.0,0.0001295544460656774
g__Lactobacillus.s__Lactobacillus_murinus,1476.0,0.047805590598234964
g__Mucispirillum.s__Mucispirillum_schaedleri,11164.0,0.3615864589693057
g__Parabacteroides.s__Parabacteroides_goldsteinii,371573.0,12.03473354699049
unclassified,210839.999999928,6.828814852119525
