taxa,RPK,length,read_count,,
g__Betaretrovirus.s__Mouse_mammary_tumor_virus,3,1215,2.061,,
g__Blautia.s__Blautia_producta,3393,845770,3267.417,,
g__Clostridium.s__Clostridium_sp_ASF356,35989,2240131,31969.052,,
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,6,450,2.7,,
g__Lactobacillus.s__Lactobacillus_murinus,1584,221520,1458.323,,168199.44
g__Mucispirillum.s__Mucispirillum_schaedleri,6544,1201257,6462.312,,
g__Parabacteroides.s__Parabacteroides_goldsteinii,132287,4402520,125037.575,,
unclassified,139286,706306,77267.22848,,
