taxa,RPK,length,read_count
g__Escherichia.s__Escherichia_coli,5985,901778,3306.065
g__Parabacteroides.s__Parabacteroides_goldsteinii,28145,1989571,17988.972
unclassified,149355,316782,114323.735
,,,
,,,
,,,21295.037
