taxa,RPK,length,read_count
g__Mucispirillum.s__Mucispirillum_schaedleri,2341.0,462355.0,2390.228
g__Parabacteroides.s__Parabacteroides_goldsteinii,61660.0,3757949.0,49590.413999999466
unclassified,57217.999999999476,562539.0,45377.57008397171
