taxa,reads
g__Campylobacter.s__Campylobacter_coli,2
g__Campylobacter.s__Campylobacter_jejuni,1
g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus,1
g__Capnocytophaga.s__Capnocytophaga_sputigena,2
g__Carnobacterium.s__Carnobacterium_maltaromaticum,78
g__Caulobacter.s__Caulobacter_segnis,24
g__Caulobacter.s__Caulobacter_sp_AP07,7
g__Caulobacter.s__Caulobacter_sp_K31,2
g__Caulobacter.s__Caulobacter_vibrioides,14
g__Centipeda.s__Centipeda_periodontii,2
g__Chlamydia.s__Chlamydia_psittaci,229
g__Chryseobacterium.s__Chryseobacterium_gleum,2
g__Citricoccus.s__Citricoccus_sp_CH26A,2
g__Citrobacter.s__Citrobacter_koseri,1
g__Citrobacter.s__Citrobacter_rodentium,1
g__Clavibacter.s__Clavibacter_michiganensis,1
g__Clostridium.s__Clostridium_bolteae,85
g__Clostridium.s__Clostridium_botulinum,437
g__Clostridium.s__Clostridium_butyricum,1
g__Clostridium.s__Clostridium_cellulovorans,1
g__Clostridium.s__Clostridium_clostridioforme,6041
g__Clostridium.s__Clostridium_leptum,81
g__Clostridium.s__Clostridium_perfringens,2
g__Clostridium.s__Clostridium_scindens,20
g__Clostridium.s__Clostridium_sp_ASF356,4285
g__Clostridium.s__Clostridium_sp_BL8,29
g__Clostridium.s__Clostridium_sp_D5,2
g__Clostridium.s__Clostridium_sp_L2_50,234
g__Clostridium.s__Clostridium_sp_M62_1,33
g__Clostridium.s__Clostridium_sp_SS2_1,434
g__Clostridium.s__Clostridium_sp_SY8519,18
g__Clostridium.s__Clostridium_symbiosum,13
g__Clostridium.s__Clostridium_thermocellum,1
g__Comamonas.s__Comamonas_testosteroni,6
g__Conexibacter.s__Conexibacter_woesei,1
g__Coprococcus.s__Coprococcus_eutactus,217
g__Coprococcus.s__Coprococcus_sp_HPP0048,22
g__Coprococcus.s__Coprococcus_sp_HPP0074,19
g__Corynebacterium.s__Corynebacterium_accolens,1
g__Corynebacterium.s__Corynebacterium_glucuronolyticum,1
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,3
g__Corynebacterium.s__Corynebacterium_matruchotii,6
g__Corynebacterium.s__Corynebacterium_striatum,24
g__Corynebacterium.s__Corynebacterium_timonense,2
g__Coxiella.s__Coxiella_burnetii,24
g__Cupriavidus.s__Cupriavidus_sp_WS,1
g__Curvibacter.s__Curvibacter_lanceolatus,1
g__Cyanothece.s__Cyanothece_sp_CCY0110,1
g__Delftia.s__Delftia_acidovorans,2
