taxa,RPK,length,read_count
g__Escherichia.s__Escherichia_coli,6399.0,1029969,4159.765000000005
g__Parabacteroides.s__Parabacteroides_goldsteinii,25238.0,2118372,15973.029000000066
unclassified,169957.99999999223,342072,148443.85378295564
