taxa,reads
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,7.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,2.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1,11.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_278,7.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_285,3.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_375,5.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321,20.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_STM_3843,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253,73.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM471,18.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681,22.0
g__Brevundimonas.s__Brevundimonas_diminuta,3.0
g__Brevundimonas.s__Brevundimonas_sp_BAL3,2.0
g__Brucella.s__Brucella_pinnipedialis,1.0
g__Brucella.s__Brucella_sp_83_13,1.0
g__Brucella.s__Brucella_sp_F5_99,1.0
g__Brucella.s__Brucella_suis,85.0
g__Burkholderia.s__Burkholderia_cenocepacia,4.0
g__Burkholderia.s__Burkholderia_lata,4.0
g__Burkholderia.s__Burkholderia_multivorans,2.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47,1.0
g__Butyricicoccus.s__Butyricicoccus_pullicaecorum,1.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,6.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,42.0
g__Caldimonas.s__Caldimonas_manganoxidans,2.0
g__Campylobacter.s__Campylobacter_jejuni,2.0
g__Candidatus_Photodesmus.s__Candidatus_Photodesmus_katoptron,1.0
g__Candidatus_Phytoplasma.s__Aster_yellows_witches_broom_phytoplasma,1.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,2450.0
g__Catonella.s__Catonella_morbi,1.0
g__Caulobacter.s__Caulobacter_segnis,5.0
g__Caulobacter.s__Caulobacter_sp_AP07,10.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001010_J14,1.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_D04,12.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001013_O16,10.0
g__Caulobacter.s__Caulobacter_sp_K31,7.0
g__Caulobacter.s__Caulobacter_vibrioides,23.0
g__Centipeda.s__Centipeda_periodontii,3.0
g__Chitiniphilus.s__Chitiniphilus_shinanonensis,1.0
g__Chlamydia.s__Chlamydia_psittaci,511.0
g__Chryseobacterium.s__Chryseobacterium_sp_CF314,1.0
g__Citrobacter.s__Citrobacter_freundii,5.0
g__Citrobacter.s__Citrobacter_koseri,1.0
g__Citrobacter.s__Citrobacter_rodentium,6.0
g__Citrobacter.s__Citrobacter_sp_KTE151,1.0
g__Citrobacter.s__Citrobacter_sp_KTE30,2.0
g__Citrobacter.s__Citrobacter_sp_KTE32,2.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,11.0
g__Clostridium.s__Clostridium_bolteae,4050.0
g__Clostridium.s__Clostridium_botulinum,69.0
g__Clostridium.s__Clostridium_cellulovorans,9.0
g__Clostridium.s__Clostridium_clostridioforme,12.0
g__Clostridium.s__Clostridium_leptum,260.0
g__Clostridium.s__Clostridium_perfringens,8.0
g__Clostridium.s__Clostridium_scindens,333.0
g__Clostridium.s__Clostridium_sp_ASF356,13398.0
g__Clostridium.s__Clostridium_sp_BL8,1.0
g__Clostridium.s__Clostridium_sp_L2_50,465.0
g__Clostridium.s__Clostridium_sp_M62_1,230.0
g__Clostridium.s__Clostridium_sp_SS2_1,781.0
g__Clostridium.s__Clostridium_sp_SY8519,22.0
g__Clostridium.s__Clostridium_symbiosum,6.0
g__Clostridium.s__Clostridium_thermocellum,6.0
g__Collinsella.s__Collinsella_aerofaciens,3.0
g__Collinsella.s__Collinsella_stercoris,1.0
g__Comamonas.s__Comamonas_testosteroni,1.0
g__Coprococcus.s__Coprococcus_comes,10.0
g__Coprococcus.s__Coprococcus_eutactus,570.0
g__Corynebacterium.s__Corynebacterium_accolens,7.0
g__Corynebacterium.s__Corynebacterium_glucuronolyticum,4.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,10.0
g__Corynebacterium.s__Corynebacterium_lipophiloflavum,1.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,2.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1817,1.0
g__Coxiella.s__Coxiella_burnetii,60.0
g__Cupriavidus.s__Cupriavidus_metallidurans,6.0
g__Cyanothece.s__Cyanothece_sp_CCY0110,33.0
g__Dechloromonas.s__Dechloromonas_aromatica,4.0
g__Delftia.s__Delftia_sp_Cs1_4,1.0
g__Dickeya.s__Dickeya_zeae,2.0
g__Dorea.s__Dorea_formicigenerans,2.0
g__Dorea.s__Dorea_longicatena,3804.0
g__Dorea.s__Dorea_sp_5_2,5.0
g__Edwardsiella.s__Edwardsiella_tarda,2.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,2.0
g__Empedobacter.s__Empedobacter_brevis,4.0
g__Entamoeba.s__Entamoeba_dispar,2.0
g__Enterobacter.s__Enterobacter_cloacae,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_14,2.0
g__Enterobacter.s__Enterobacter_sp_MGH_22,1.0
g__Enterobacter.s__Enterobacter_sp_R4_368,1.0
g__Enterococcus.s__Enterococcus_casseliflavus,9.0
g__Enterococcus.s__Enterococcus_cecorum,25.0
g__Enterococcus.s__Enterococcus_durans,2.0
g__Enterococcus.s__Enterococcus_faecalis,193.0
g__Enterococcus.s__Enterococcus_faecium,5.0
g__Enterococcus.s__Enterococcus_mundtii,8.0
g__Enterococcus.s__Enterococcus_raffinosus,1.0
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,33.0
g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_2_2_44A,7.0
g__Erysipelotrichaceae_noname.s__Eubacterium_dolichum,1.0
g__Escherichia.s__Escherichia_albertii,12.0
g__Escherichia.s__Escherichia_coli,869.0
g__Escherichia.s__Escherichia_fergusonii,13.0
g__Escherichia.s__Escherichia_sp_1_1_43,407.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,147.0
g__Escherichia.s__Escherichia_sp_4_1_40B,541.0
g__Escherichia.s__Escherichia_sp_TW09231,18.0
g__Escherichia.s__Escherichia_sp_TW09276,11.0
g__Escherichia.s__Escherichia_sp_TW09308,5.0
g__Escherichia.s__Escherichia_sp_TW10509,58.0
g__Escherichia.s__Escherichia_sp_TW11588,15.0
g__Eubacterium.s__Eubacterium_hallii,2.0
g__Eubacterium.s__Eubacterium_sp_14_2,2.0
g__Eubacterium.s__Eubacterium_ventriosum,228.0
g__Exiguobacterium.s__Exiguobacterium_pavilionensis,3.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,70.0
g__Finegoldia.s__Finegoldia_magna,18.0
g__Flavobacteriaceae_noname.s__Flavobacteriaceae_bacterium_HQM9,2.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_2A,3.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,1.0
g__Flavobacterium.s__Flavobacterium_johnsoniae,2.0
g__Flavobacterium.s__Flavobacterium_sp_F52,1.0
g__Flavobacterium.s__Flavobacterium_sp_WG21,5.0
g__Fusobacterium.s__Fusobacterium_nucleatum,12.0
g__Gallibacterium.s__Gallibacterium_anatis,11.0
g__Gemmata.s__Gemmata_obscuriglobus,1.0
g__Gemmatimonas.s__Gemmatimonas_aurantiaca,13.0
g__Glaciecola.s__Glaciecola_chathamensis,2.0
g__Glaciecola.s__Glaciecola_sp_4H_3_7_YE_5,2.0
g__Gordonia.s__Gordonia_rhizosphera,3.0
g__Haemophilus.s__Haemophilus_parainfluenzae,3.0
g__Haemophilus.s__Haemophilus_pittmaniae,1.0
g__Haliscomenobacter.s__Haliscomenobacter_hydrossis,20.0
g__Halomonas.s__Halomonas_smyrnensis,1.0
g__Halomonas.s__Halomonas_titanicae,1.0
g__Helicobacter.s__Helicobacter_pullorum,1.0
g__Helicobacter.s__Helicobacter_pylori,6.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,215.0
g__Hoeflea.s__Hoeflea_sp_108,1.0
g__Hydrocarboniphaga.s__Hydrocarboniphaga_effusa,1.0
g__Janthinobacterium.s__Janthinobacterium_lividum,2.0
g__Janthinobacterium.s__Janthinobacterium_sp_HH01,1.0
g__Klebsiella.s__Klebsiella_oxytoca,4.0
g__Klebsiella.s__Klebsiella_pneumoniae,19.0
g__Klebsiella.s__Klebsiella_sp_4_1_44FAA,1.0
g__Klebsiella.s__Klebsiella_sp_KTE92,1.0
g__Klebsiella.s__Klebsiella_sp_OBRC7,1.0
g__Kluyveromyces.s__Kluyveromyces_lactis,4.0
g__Kocuria.s__Kocuria_rhizophila,4.0
g__Kocuria.s__Kocuria_sp_UCD_OTCP,1.0
g__Kosakonia.s__Kosakonia_radicincitans,4.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA,1.0
