taxa,reads
g__Acetivibrio.s__Acetivibrio_cellulolyticus,1.0
g__Acetobacter.s__Acetobacter_pasteurianus,2.0
g__Acetobacterium.s__Acetobacterium_woodii,1.0
g__Achromobacter.s__Achromobacter_piechaudii,6.0
g__Achromobacter.s__Achromobacter_xylosoxidans,4.0
g__Acidithiobacillus.s__Acidithiobacillus_ferrooxidans,3.0
g__Acidovorax.s__Acidovorax_ebreus,10.0
g__Acidovorax.s__Acidovorax_radicis,6.0
g__Acidovorax.s__Acidovorax_sp_CF316,22.0
g__Acidovorax.s__Acidovorax_sp_JS42,8.0
g__Acidovorax.s__Acidovorax_sp_KKS102,35.0
g__Acidovorax.s__Acidovorax_sp_MR_S7,2.0
g__Acidovorax.s__Acidovorax_sp_NO_1,1.0
g__Acinetobacter.s__Acinetobacter_baumannii,28.0
g__Acinetobacter.s__Acinetobacter_bouvetii,1.0
g__Acinetobacter.s__Acinetobacter_haemolyticus,2.0
g__Acinetobacter.s__Acinetobacter_johnsonii,13.0
g__Acinetobacter.s__Acinetobacter_junii,1.0
g__Acinetobacter.s__Acinetobacter_lwoffii,6.0
g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis,5.0
g__Acinetobacter.s__Acinetobacter_radioresistens,4.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,3.0
g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244,3.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_110321,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,175.0
g__Acinetobacter.s__Acinetobacter_tandoii,6.0
g__Acinetobacter.s__Acinetobacter_tjernbergiae,3.0
g__Acinetobacter.s__Acinetobacter_venetianus,3.0
g__Actinomyces.s__Actinomyces_massiliensis,3.0
g__Actinomyces.s__Actinomyces_naeslundii,2.0
g__Actinomyces.s__Actinomyces_odontolyticus,87.0
g__Actinomyces.s__Actinomyces_oris,1.0
