taxa,reads
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,606.0
g__Bacteroides.s__Bacteroides_sp_3_1_40A,2.0
g__Bacteroides.s__Bacteroides_sp_4_1_36,2.0
g__Bacteroides.s__Bacteroides_sp_4_3_47FAA,3.0
g__Bacteroides.s__Bacteroides_sp_9_1_42FAA,17.0
g__Bacteroides.s__Bacteroides_sp_D2,2.0
g__Bacteroides.s__Bacteroides_sp_D20,10.0
g__Bacteroides.s__Bacteroides_sp_D22,55.0
g__Bacteroides.s__Bacteroides_sp_HPS0048,2.0
g__Bacteroides.s__Bacteroides_stercoris,79.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,79.0
g__Bacteroides.s__Bacteroides_uniformis,1864.0
g__Bacteroides.s__Bacteroides_vulgatus,486.0
g__Bacteroides.s__Bacteroides_xylanisolvens,126.0
g__Barnesiella.s__Barnesiella_intestinihominis,153.0
g__Belliella.s__Belliella_baltica,1.0
g__Bifidobacterium.s__Bifidobacterium_adolescentis,2.0
g__Bifidobacterium.s__Bifidobacterium_breve,1.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,3.0
g__Blautia.s__Blautia_hansenii,55.0
g__Blautia.s__Blautia_hydrogenotrophica,6.0
g__Blautia.s__Blautia_producta,10458.0
g__Blautia.s__Blautia_sp_KLE_1732,15.0
g__Blautia.s__Ruminococcus_gnavus,131.0
g__Blautia.s__Ruminococcus_obeum,902.0
g__Blautia.s__Ruminococcus_torques,864.0
g__Botryotinia.s__Botryotinia_fuckeliana,221.0
g__Brachybacterium.s__Brachybacterium_muris,2.0
g__Brachyspira.s__Brachyspira_innocens,4.0
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,13.0
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,29.0
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,94.0
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp,2.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,4.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1,26.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_285,4.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321,14.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_STM_3843,9.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253,2.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM471,9.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681,17.0
g__Brevibacterium.s__Brevibacterium_casei,4.0
g__Brevundimonas.s__Brevundimonas_sp_BAL3,1.0
g__Brucella.s__Brucella_suis,3.0
g__Burkholderia.s__Burkholderia_cenocepacia,12.0
g__Burkholderia.s__Burkholderia_gladioli,2.0
g__Burkholderia.s__Burkholderia_lata,10.0
g__Burkholderia.s__Burkholderia_multivorans,1.0
g__Burkholderia.s__Burkholderia_pseudomallei,2.0
g__Burkholderia.s__Burkholderia_sp_Ch1_1,1.0
g__Burkholderia.s__Burkholderia_ubonensis,6.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_JOSHI_001,2.0
g__Butyricicoccus.s__Butyricicoccus_pullicaecorum,1.0
g__Butyricimonas.s__Butyricimonas_synergistica,1.0
g__Butyrivibrio.s__Butyrivibrio_fibrisolvens,28.0
g__Butyrivibrio.s__Butyrivibrio_proteoclasticus,6.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,11.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,18.0
g__Calothrix.s__Calothrix_sp_PCC_7103,1.0
g__Campylobacter.s__Campylobacter_coli,1.0
g__Campylobacter.s__Campylobacter_jejuni,4.0
g__Candida.s__Candida_albicans,4.0
g__Candida.s__Candida_dubliniensis,2.0
g__Candida.s__Candida_tropicalis,3.0
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_329,6.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,633.0
g__Catonella.s__Catonella_morbi,2.0
g__Caulobacter.s__Caulobacter_segnis,1.0
g__Caulobacter.s__Caulobacter_sp_AP07,7.0
g__Caulobacter.s__Caulobacter_sp_K31,15.0
g__Caulobacter.s__Caulobacter_vibrioides,20.0
g__Cellulomonas.s__Cellulomonas_flavigena,2.0
g__Centipeda.s__Centipeda_periodontii,6.0
g__Chaetomium.s__Chaetomium_globosum,5.0
g__Chlamydia.s__Chlamydia_psittaci,294.0
g__Chlorobium.s__Chlorobium_phaeobacteroides,5.0
g__Chromobacterium.s__Chromobacterium_violaceum,1.0
g__Chroococcidiopsis.s__Chroococcidiopsis_thermalis,1.0
g__Citrobacter.s__Citrobacter_freundii,4.0
g__Citrobacter.s__Citrobacter_sp_KTE151,1.0
g__Citrobacter.s__Citrobacter_sp_KTE30,1.0
g__Citrobacter.s__Citrobacter_sp_L17,1.0
g__Citrobacter.s__Citrobacter_youngae,1.0
g__Clavispora.s__Clavispora_lusitaniae,8.0
g__Clostridiales_noname.s__Bacteroides_pectinophilus,1.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,53.0
g__Clostridium.s__Clostridium_asparagiforme,6.0
g__Clostridium.s__Clostridium_bolteae,2075.0
g__Clostridium.s__Clostridium_botulinum,3985.0
g__Clostridium.s__Clostridium_butyricum,2.0
g__Clostridium.s__Clostridium_celatum,1.0
g__Clostridium.s__Clostridium_citroniae,8.0
g__Clostridium.s__Clostridium_clostridioforme,80.0
g__Clostridium.s__Clostridium_hathewayi,68.0
g__Clostridium.s__Clostridium_hylemonae,2.0
g__Clostridium.s__Clostridium_kluyveri,1.0
g__Clostridium.s__Clostridium_leptum,75.0
g__Clostridium.s__Clostridium_methylpentosum,2.0
g__Clostridium.s__Clostridium_nexile,27.0
g__Clostridium.s__Clostridium_papyrosolvens,8.0
g__Clostridium.s__Clostridium_perfringens,5.0
g__Clostridium.s__Clostridium_saccharolyticum,5.0
g__Clostridium.s__Clostridium_scindens,71.0
g__Clostridium.s__Clostridium_sp_7_3_54FAA,5.0
g__Clostridium.s__Clostridium_sp_ASF356,68551.0
