taxa,RPK,length,read_count
g__Escherichia.s__Escherichia_coli,13118.0,1468671,12048.329999999982
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,3.0,594,1.782
g__Mucispirillum.s__Mucispirillum_schaedleri,6925.0,696456,5554.542000000002
g__Parabacteroides.s__Parabacteroides_goldsteinii,143962.0,3591217,109886.50600000017
unclassified,167554.99999999048,588026,133746.95880706658
