taxa,RPK
g__Escherichia.s__Escherichia_coli,13118.0
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,3.0
g__Mucispirillum.s__Mucispirillum_schaedleri,6925.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,143962.0
