taxa,reads
g__Abiotrophia.s__Abiotrophia_defectiva,1.0
g__Acetobacteraceae_noname.s__Acetobacteraceae_bacterium_AT_5844,1.0
g__Achromobacter.s__Achromobacter_piechaudii,1.0
g__Achromobacter.s__Achromobacter_xylosoxidans,15.0
g__Acidovorax.s__Acidovorax_avenae,4.0
g__Acidovorax.s__Acidovorax_citrulli,6.0
g__Acidovorax.s__Acidovorax_delafieldii,1.0
g__Acidovorax.s__Acidovorax_ebreus,4.0
g__Acidovorax.s__Acidovorax_radicis,24.0
g__Acidovorax.s__Acidovorax_sp_CF316,5.0
g__Acidovorax.s__Acidovorax_sp_JS42,18.0
g__Acidovorax.s__Acidovorax_sp_KKS102,83.0
g__Acidovorax.s__Acidovorax_sp_NO_1,36.0
g__Acinetobacter.s__Acinetobacter_baumannii,6.0
g__Acinetobacter.s__Acinetobacter_gerneri,1.0
g__Acinetobacter.s__Acinetobacter_guillouiae,1.0
g__Acinetobacter.s__Acinetobacter_gyllenbergii,1.0
g__Acinetobacter.s__Acinetobacter_haemolyticus,2.0
g__Acinetobacter.s__Acinetobacter_johnsonii,46.0
g__Acinetobacter.s__Acinetobacter_junii,19.0
g__Acinetobacter.s__Acinetobacter_lwoffii,55.0
g__Acinetobacter.s__Acinetobacter_radioresistens,16.0
g__Acinetobacter.s__Acinetobacter_schindleri,7.0
g__Acinetobacter.s__Acinetobacter_sp_528,2.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,5.0
g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244,2.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_101934,4.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102082,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102136,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102143,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_110321,1.0
g__Acinetobacter.s__Acinetobacter_sp_HA,7.0
g__Acinetobacter.s__Acinetobacter_sp_MDS7A,1.0
g__Acinetobacter.s__Acinetobacter_sp_NBRC_100985,4.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_236,10.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_809,1.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_899,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,9.0
g__Acinetobacter.s__Acinetobacter_sp_TG27347,1.0
g__Acinetobacter.s__Acinetobacter_ursingii,21.0
g__Acinetobacter.s__Acinetobacter_venetianus,9.0
g__Actinobacillus.s__Actinobacillus_pleuropneumoniae,1.0
g__Actinomyces.s__Actinomyces_georgiae,1.0
g__Actinomyces.s__Actinomyces_massiliensis,35.0
g__Actinomyces.s__Actinomyces_naeslundii,3.0
g__Actinomyces.s__Actinomyces_odontolyticus,19.0
g__Actinomyces.s__Actinomyces_oris,4.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_170,3.0
g__Actinoplanes.s__Actinoplanes_sp_SE50_110,6.0
g__Aeromonas.s__Aeromonas_hydrophila,5.0
g__Aeromonas.s__Aeromonas_media,7.0
g__Aeromonas.s__Aeromonas_veronii,5.0
g__Afipia.s__Afipia_birgiae,11.0
g__Afipia.s__Afipia_broomeae,25.0
g__Afipia.s__Afipia_clevelandensis,2.0
g__Afipia.s__Afipia_felis,4.0
g__Aggregatibacter.s__Aggregatibacter_aphrophilus,1.0
g__Aggregatibacter.s__Aggregatibacter_sp_oral_taxon_458,2.0
g__Agrobacterium.s__Agrobacterium_sp_10MFCol1_1,8.0
g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1,7.0
g__Agrobacterium.s__Agrobacterium_sp_ATCC_31749,3.0
g__Agrobacterium.s__Agrobacterium_sp_H13_3,8.0
g__Agrobacterium.s__Agrobacterium_tumefaciens,14.0
g__Agromyces.s__Agromyces_subbeticus,24.0
g__Ahrensia.s__Ahrensia_kielensis,1.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,60.0
g__Alicycliphilus.s__Alicycliphilus_denitrificans,13.0
g__Alistipes.s__Alistipes_putredinis,4.0
g__Alloprevotella.s__Alloprevotella_tannerae,2.0
g__Alphaproteobacteria_noname.s__Polymorphum_gilvum,5.0
g__Anaerococcus.s__Anaerococcus_hydrogenalis,2.0
g__Anaerostipes.s__Anaerostipes_caccae,182.0
g__Ancylobacter.s__Ancylobacter_sp_FA202,1.0
g__Arthrobacter.s__Arthrobacter_phenanthrenivorans,1.0
g__Arthroderma.s__Arthroderma_gypseum,5.0
g__Arthrospira.s__Arthrospira_platensis,2.0
g__Aspergillus.s__Aspergillus_clavatus,147.0
g__Aspergillus.s__Aspergillus_fumigatus,3.0
g__Aspergillus.s__Aspergillus_nidulans,1.0
g__Aspergillus.s__Aspergillus_niger,3.0
g__Aspergillus.s__Aspergillus_oryzae,10.0
g__Aspergillus.s__Aspergillus_terreus,16.0
g__Asticcacaulis.s__Asticcacaulis_excentricus,56.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC466,1.0
g__Atopobium.s__Atopobium_sp_ICM58,3.0
g__Aurantimonas.s__Aurantimonas_manganoxydans,2.0
g__Azorhizobium.s__Azorhizobium_caulinodans,8.0
g__Babesia.s__Babesia_bovis,14.0
g__Bacillus.s__Bacillus_alcalophilus,8.0
g__Bacillus.s__Bacillus_anthracis,20.0
g__Bacillus.s__Bacillus_azotoformans,3.0
g__Bacillus.s__Bacillus_cereus_thuringiensis,2.0
g__Bacillus.s__Bacillus_coahuilensis,10.0
g__Bacillus.s__Bacillus_licheniformis,619.0
g__Bacillus.s__Bacillus_oceanisediminis,7.0
g__Bacillus.s__Bacillus_sp_2_A_57_CT2,20.0
g__Bacillus.s__Bacillus_sp_37MA,4.0
g__Bacillus.s__Bacillus_sp_BT1B_CT2,1.0
g__Bacillus.s__Bacillus_sp_JC63,23.0
g__Bacillus.s__Bacillus_subtilis,4.0
g__Bacteroides.s__Bacteroides_caccae,1150.0
g__Bacteroides.s__Bacteroides_coprocola,13242.0
g__Bacteroides.s__Bacteroides_coprophilus,8.0
g__Bacteroides.s__Bacteroides_dorei,103.0
g__Bacteroides.s__Bacteroides_eggerthii,1.0
g__Bacteroides.s__Bacteroides_faecis,1.0
g__Bacteroides.s__Bacteroides_finegoldii,99.0
g__Bacteroides.s__Bacteroides_fragilis,133.0
g__Bacteroides.s__Bacteroides_intestinalis,1.0
g__Bacteroides.s__Bacteroides_massiliensis,68.0
g__Bacteroides.s__Bacteroides_nordii,3.0
g__Bacteroides.s__Bacteroides_ovatus,106.0
g__Bacteroides.s__Bacteroides_plebeius,315.0
g__Bacteroides.s__Bacteroides_pyogenes,2.0
g__Bacteroides.s__Bacteroides_salyersiae,6.0
g__Bacteroides.s__Bacteroides_sp_1_1_14,1.0
g__Bacteroides.s__Bacteroides_sp_1_1_30,1.0
g__Bacteroides.s__Bacteroides_sp_1_1_6,28.0
g__Bacteroides.s__Bacteroides_sp_2_1_16,60.0
g__Bacteroides.s__Bacteroides_sp_2_1_22,50.0
g__Bacteroides.s__Bacteroides_sp_2_1_33B,4037.0
g__Bacteroides.s__Bacteroides_sp_2_1_56FAA,11.0
g__Bacteroides.s__Bacteroides_sp_2_1_7,10.0
g__Bacteroides.s__Bacteroides_sp_2_2_4,128.0
g__Bacteroides.s__Bacteroides_sp_3_1_19,16.0
g__Bacteroides.s__Bacteroides_sp_3_1_23,7.0
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,940.0
g__Bacteroides.s__Bacteroides_sp_3_1_40A,1.0
g__Bacteroides.s__Bacteroides_sp_3_2_5,2.0
g__Bacteroides.s__Bacteroides_sp_9_1_42FAA,5.0
g__Bacteroides.s__Bacteroides_sp_D20,6.0
g__Bacteroides.s__Bacteroides_sp_D22,5.0
g__Bacteroides.s__Bacteroides_sp_HPS0048,21.0
g__Bacteroides.s__Bacteroides_stercoris,12.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,30.0
g__Bacteroides.s__Bacteroides_uniformis,725.0
g__Bacteroides.s__Bacteroides_vulgatus,378.0
g__Bacteroides.s__Bacteroides_xylanisolvens,18.0
g__Barnesiella.s__Barnesiella_intestinihominis,1928.0
g__Bdellovibrio.s__Bdellovibrio_bacteriovorus,3.0
g__Beijerinckia.s__Beijerinckia_indica,9.0
g__Bifidobacterium.s__Bifidobacterium_bifidum,3.0
g__Blastococcus.s__Blastococcus_saxobsidens,1.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,90.0
g__Blautia.s__Blautia_hansenii,98.0
g__Blautia.s__Blautia_hydrogenotrophica,1.0
g__Blautia.s__Blautia_producta,8944.0
g__Blautia.s__Blautia_sp_KLE_1732,1.0
g__Blautia.s__Ruminococcus_gnavus,636.0
g__Blautia.s__Ruminococcus_obeum,4212.0
g__Blautia.s__Ruminococcus_torques,3853.0
g__Bordetella.s__Bordetella_bronchiseptica_parapertussis,6.0
g__Bordetella.s__Bordetella_pertussis,3.0
g__Bordetella.s__Bordetella_petrii,1.0
g__Botryotinia.s__Botryotinia_fuckeliana,127.0
g__Brachybacterium.s__Brachybacterium_paraconglomeratum,42.0
g__Bradyrhizobiaceae_noname.s__Bradyrhizobiaceae_bacterium_SG_6C,14.0
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,258.0
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,128.0
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,217.0
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,12.0
g__Bradyrhizobium.s__Bradyrhizobium_sp,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,13.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1,66.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_278,8.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_285,18.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_375,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321,61.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_STM_3843,18.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253,408.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM471,27.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681,80.0
g__Brevibacterium.s__Brevibacterium_casei,110.0
g__Brevibacterium.s__Brevibacterium_massiliense,8.0
g__Brevundimonas.s__Brevundimonas_sp_BAL3,11.0
g__Brevundimonas.s__Brevundimonas_subvibrioides,2.0
g__Brucella.s__Brucella_sp_F96_2,1.0
g__Brucella.s__Brucella_suis,10.0
g__Burkholderia.s__Burkholderia_bryophila,2.0
g__Burkholderia.s__Burkholderia_cenocepacia,15.0
g__Burkholderia.s__Burkholderia_dolosa,2.0
g__Burkholderia.s__Burkholderia_graminis,9.0
g__Burkholderia.s__Burkholderia_lata,23.0
g__Burkholderia.s__Burkholderia_multivorans,4.0
g__Burkholderia.s__Burkholderia_phenoliruptrix,6.0
g__Burkholderia.s__Burkholderia_phytofirmans,3.0
g__Burkholderia.s__Burkholderia_pseudomallei,4.0
g__Burkholderia.s__Burkholderia_sp_BT03,1.0
g__Burkholderia.s__Burkholderia_sp_CCGE1001,12.0
g__Burkholderia.s__Burkholderia_sp_Ch1_1,14.0
g__Burkholderia.s__Burkholderia_sp_H160,4.0
g__Burkholderia.s__Burkholderia_sp_KJ006,1.0
g__Burkholderia.s__Burkholderia_terrae,4.0
g__Burkholderia.s__Burkholderia_ubonensis,1.0
g__Burkholderia.s__Burkholderia_vietnamiensis,1.0
g__Burkholderia.s__Burkholderia_xenovorans,151.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_JOSHI_001,2.0
g__Butyrivibrio.s__Butyrivibrio_fibrisolvens,1.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,21.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,5.0
g__Caldimonas.s__Caldimonas_manganoxidans,33.0
g__Campylobacter.s__Campylobacter_jejuni,23.0
g__Candida.s__Candida_albicans,9.0
g__Candida.s__Candida_dubliniensis,5.0
g__Candida.s__Candida_tropicalis,14.0
g__Candidatus_Saccharibacteria_noname.s__candidate_division_TM7_single_cell_isolate_TM7c,6.0
g__Candidatus_Saccharimonas.s__Candidatus_Saccharimonas_aalborgensis,17.0
g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus,1.0
g__Candidatus_Sulcia.s__Candidatus_Sulcia_muelleri,1.0
g__Capnocytophaga.s__Capnocytophaga_sp_oral_taxon_329,1.0
g__Capnocytophaga.s__Capnocytophaga_sputigena,1.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,2204.0
g__Caulobacter.s__Caulobacter_segnis,6.0
g__Caulobacter.s__Caulobacter_sp_AP07,50.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001010_J14,16.0
g__Caulobacter.s__Caulobacter_vibrioides,49.0
g__Cedecea.s__Cedecea_davisae,1.0
g__Cellulomonas.s__Cellulomonas_sp_JC225,1.0
g__Chaetomium.s__Chaetomium_globosum,106.0
g__Chlamydia.s__Chlamydia_psittaci,413.0
g__Chryseobacterium.s__Chryseobacterium_gleum,1.0
g__Chryseobacterium.s__Chryseobacterium_sp_CF314,3.0
g__Chryseobacterium.s__Chryseobacterium_taeanense,8.0
g__Chthoniobacter.s__Chthoniobacter_flavus,3.0
g__Citrobacter.s__Citrobacter_freundii,12.0
g__Citrobacter.s__Citrobacter_koseri,3.0
g__Citrobacter.s__Citrobacter_rodentium,3.0
g__Citrobacter.s__Citrobacter_sp_KTE151,2.0
g__Citrobacter.s__Citrobacter_sp_KTE30,1.0
g__Citromicrobium.s__Citromicrobium_bathyomarinum,7.0
g__Clavispora.s__Clavispora_lusitaniae,8.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,125.0
g__Clostridium.s__Clostridium_asparagiforme,1.0
g__Clostridium.s__Clostridium_bolteae,764.0
g__Clostridium.s__Clostridium_botulinum,811.0
g__Clostridium.s__Clostridium_butyricum,4.0
g__Clostridium.s__Clostridium_cellulovorans,167.0
g__Clostridium.s__Clostridium_citroniae,27.0
g__Clostridium.s__Clostridium_clostridioforme,1889.0
g__Clostridium.s__Clostridium_hathewayi,4.0
g__Clostridium.s__Clostridium_leptum,4.0
g__Clostridium.s__Clostridium_methylpentosum,15.0
g__Clostridium.s__Clostridium_nexile,5.0
g__Clostridium.s__Clostridium_papyrosolvens,32.0
g__Clostridium.s__Clostridium_perfringens,27.0
g__Clostridium.s__Clostridium_saccharolyticum,1.0
g__Clostridium.s__Clostridium_scindens,347.0
g__Clostridium.s__Clostridium_sp_7_3_54FAA,1.0
g__Clostridium.s__Clostridium_sp_ASF356,37831.0
g__Clostridium.s__Clostridium_sp_ASF502,4.0
g__Clostridium.s__Clostridium_sp_BL8,1.0
g__Clostridium.s__Clostridium_sp_D5,6.0
g__Clostridium.s__Clostridium_sp_L2_50,247.0
g__Clostridium.s__Clostridium_sp_M62_1,35.0
g__Clostridium.s__Clostridium_sp_SS2_1,1024.0
g__Clostridium.s__Clostridium_sp_SY8519,13.0
g__Clostridium.s__Clostridium_symbiosum,24.0
g__Clostridium.s__Clostridium_tetani,1.0
g__Clostridium.s__Clostridium_thermocellum,2.0
g__Coccidioides.s__Coccidioides_posadasii,1.0
g__Collimonas.s__Collimonas_fungivorans,17.0
g__Collinsella.s__Collinsella_aerofaciens,1.0
g__Comamonas.s__Comamonas_sp_B_9,4.0
g__Comamonas.s__Comamonas_testosteroni,21.0
g__Conexibacter.s__Conexibacter_woesei,100.0
g__Coprinopsis.s__Coprinopsis_cinerea,10.0
g__Coprococcus.s__Coprococcus_eutactus,127.0
g__Corynebacterium.s__Corynebacterium_accolens,2.0
g__Corynebacterium.s__Corynebacterium_efficiens,2.0
g__Corynebacterium.s__Corynebacterium_glutamicum,2.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,1.0
g__Corynebacterium.s__Corynebacterium_propinquum,2.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,1.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1817,1.0
g__Corynebacterium.s__Corynebacterium_ulcerans,3.0
g__Coxiella.s__Coxiella_burnetii,72.0
g__Cronobacter.s__Cronobacter_sakazakii,89.0
g__Cryptosporidium.s__Cryptosporidium_parvum,1.0
g__Cupriavidus.s__Cupriavidus_basilensis,54.0
g__Cupriavidus.s__Cupriavidus_necator,15.0
g__Cupriavidus.s__Cupriavidus_sp_HMR_1,198.0
g__Cupriavidus.s__Cupriavidus_sp_UYPR2_512,6.0
g__Cupriavidus.s__Cupriavidus_taiwanensis,2.0
g__Curtobacterium.s__Curtobacterium_sp_B8,1.0
g__Curvibacter.s__Curvibacter_lanceolatus,177.0
g__Cyanobium.s__Cyanobium_sp_PCC_7001,5.0
g__Debaryomyces.s__Debaryomyces_hansenii,8.0
g__Dechloromonas.s__Dechloromonas_aromatica,13.0
g__Deinococcus.s__Deinococcus_deserti,1.0
g__Delftia.s__Delftia_acidovorans,205.0
g__Delftia.s__Delftia_sp_Cs1_4,4.0
g__Desulfarculus.s__Desulfarculus_baarsii,4.0
g__Desulfobacca.s__Desulfobacca_acetoxidans,2.0
g__Desulfococcus.s__Desulfococcus_multivorans,2.0
g__Desulfomicrobium.s__Desulfomicrobium_baculatum,1.0
g__Dictyostelium.s__Dictyostelium_discoideum,1.0
g__Dictyostelium.s__Dictyostelium_purpureum,8.0
g__Dolosigranulum.s__Dolosigranulum_pigrum,1.0
g__Dorea.s__Dorea_formicigenerans,11.0
g__Dorea.s__Dorea_longicatena,285.0
g__Dorea.s__Dorea_sp_5_2,93.0
g__Duganella.s__Duganella_zoogloeoides,30.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,3322.0
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,5.0
g__Entamoeba.s__Entamoeba_dispar,3.0
g__Enterobacter.s__Enterobacter_cancerogenus,2.0
g__Enterobacter.s__Enterobacter_cloacae,9.0
g__Enterobacter.s__Enterobacter_hormaechei,5.0
g__Enterobacter.s__Enterobacter_lignolyticus,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_14,4.0
g__Enterobacter.s__Enterobacter_sp_MGH_16,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_22,3.0
g__Enterobacter.s__Enterobacter_sp_MGH_23,4.0
g__Enterobacter.s__Enterobacter_sp_MGH_24,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_25,3.0
g__Enterobacter.s__Enterobacter_sp_MGH_26,4.0
g__Enterobacter.s__Enterobacter_sp_MGH_34,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_38,1.0
g__Enterobacter.s__Enterobacter_sp_MGH_8,2.0
g__Enterococcus.s__Enterococcus_cecorum,23.0
g__Enterococcus.s__Enterococcus_columbae,3.0
g__Enterococcus.s__Enterococcus_faecalis,218.0
g__Enterococcus.s__Enterococcus_faecium,203.0
g__Enterococcus.s__Enterococcus_mundtii,3.0
g__Enterococcus.s__Enterococcus_raffinosus,5.0
g__Enterocytozoon.s__Enterocytozoon_bieneusi,2.0
g__Eremothecium.s__Eremothecium_cymbalariae,2.0
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,9.0
g__Escherichia.s__Escherichia_albertii,77.0
g__Escherichia.s__Escherichia_coli,3138.0
g__Escherichia.s__Escherichia_fergusonii,67.0
g__Escherichia.s__Escherichia_hermannii,3.0
g__Escherichia.s__Escherichia_sp_1_1_43,1190.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,258.0
g__Escherichia.s__Escherichia_sp_4_1_40B,1543.0
g__Escherichia.s__Escherichia_sp_TW09231,46.0
g__Escherichia.s__Escherichia_sp_TW09276,46.0
g__Escherichia.s__Escherichia_sp_TW09308,42.0
g__Escherichia.s__Escherichia_sp_TW10509,145.0
g__Escherichia.s__Escherichia_sp_TW11588,53.0
g__Eubacterium.s__Eubacterium_hallii,1.0
g__Eubacterium.s__Eubacterium_limosum,11.0
g__Eubacterium.s__Eubacterium_ramulus,15.0
g__Eubacterium.s__Eubacterium_rectale,2.0
g__Eubacterium.s__Eubacterium_sp_14_2,21.0
g__Eubacterium.s__Eubacterium_ventriosum,181.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,54.0
g__Finegoldia.s__Finegoldia_magna,6.0
g__Fischerella.s__Fischerella_muscicola,3.0
g__Flavobacteriaceae_noname.s__Flavobacteriaceae_bacterium_HQM9,3.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_2A,87.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,76.0
g__Flavobacterium.s__Flavobacterium_johnsoniae,2.0
g__Flavobacterium.s__Flavobacterium_sp_WG21,5.0
g__Fretibacterium.s__Fretibacterium_fastidiosum,1.0
g__Fusarium.s__Fusarium_graminearum,4.0
g__Fusarium.s__Nectria_haematococca,3.0
g__Fusobacterium.s__Fusobacterium_gonidiaformans,1.0
g__Fusobacterium.s__Fusobacterium_nucleatum,2.0
g__Geitlerinema.s__Geitlerinema_sp_PCC_7105,2.0
g__Gemella.s__Gemella_haemolysans,2.0
g__Gemmata.s__Gemmata_obscuriglobus,1.0
g__Geodermatophilus.s__Geodermatophilus_obscurus,11.0
g__Gilvimarinus.s__Gilvimarinus_chinensis,1.0
g__Glaciibacter.s__Glaciibacter_superstes,1.0
g__Gloeobacter.s__Gloeobacter_violaceus,1.0
g__Gluconacetobacter.s__Gluconacetobacter_europaeus,2.0
g__Gordonia.s__Gordonia_alkanivorans,1.0
g__Gordonia.s__Gordonia_bronchialis,1.0
g__Gordonia.s__Gordonia_malaquae,6.0
g__Haemophilus.s__Haemophilus_influenzae,1.0
g__Haemophilus.s__Haemophilus_sputorum,1.0
g__Halomonas.s__Halomonas_titanicae,2.0
g__Helicobacter.s__Helicobacter_pullorum,1.0
g__Helicobacter.s__Helicobacter_pylori,18.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,84.0
g__Hoeflea.s__Hoeflea_sp_108,10.0
g__Holdemania.s__Holdemania_sp_AP2,2.0
g__Hydrogenophaga.s__Hydrogenophaga_sp_PBC,16.0
g__Hyphomicrobium.s__Hyphomicrobium_denitrificans,8.0
g__Intrasporangium.s__Intrasporangium_calvum,2.0
g__Isosphaera.s__Isosphaera_pallida,2.0
g__Janibacter.s__Janibacter_hoylei,13.0
g__Janthinobacterium.s__Janthinobacterium_sp_CG3,1.0
g__Janthinobacterium.s__Janthinobacterium_sp_HH01,19.0
g__Klebsiella.s__Klebsiella_pneumoniae,68.0
g__Klebsiella.s__Klebsiella_sp_1_1_55,4.0
g__Klebsiella.s__Klebsiella_sp_4_1_44FAA,1.0
g__Klebsiella.s__Klebsiella_sp_KTE92,3.0
g__Klebsiella.s__Klebsiella_sp_MS_92_3,3.0
g__Klebsiella.s__Klebsiella_sp_OBRC7,1.0
g__Klebsiella.s__Klebsiella_variicola,4.0
g__Kluyveromyces.s__Kluyveromyces_lactis,35.0
g__Kocuria.s__Kocuria_rhizophila,43.0
g__Kocuria.s__Kocuria_sp_UCD_OTCP,2.0
g__Komagataella.s__Komagataella_pastoris,1.0
g__Kosakonia.s__Kosakonia_radicincitans,3.0
g__Kytococcus.s__Kytococcus_sedentarius,16.0
g__Laccaria.s__Laccaria_bicolor,2.0
g__Lachancea.s__Lachancea_thermotolerans,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA,16.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA,14.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,142.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,63.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,96.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,19.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,783.0
g__Lactobacillus.s__Lactobacillus_animalis,907.0
g__Lactobacillus.s__Lactobacillus_brevis,19.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,35.0
g__Lactobacillus.s__Lactobacillus_crispatus,11.0
g__Lactobacillus.s__Lactobacillus_equi,3.0
g__Lactobacillus.s__Lactobacillus_fermentum,9.0
g__Lactobacillus.s__Lactobacillus_jensenii,16.0
g__Lactobacillus.s__Lactobacillus_murinus,4948.0
g__Lactobacillus.s__Lactobacillus_pasteurii,2.0
g__Lactobacillus.s__Lactobacillus_plantarum,1.0
