GeneID,RPK,taxa
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,27335.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Escherichia.s__Escherichia_coli,2798.0,g__Escherichia.s__Escherichia_coli
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,27.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,12672.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,3169.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,1777.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,1401.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_D4VKI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,1392.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZQ95|g__Parabacteroides.s__Parabacteroides_goldsteinii,1329.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A0A023KWQ1|g__Escherichia.s__Escherichia_coli,1249.0,g__Escherichia.s__Escherichia_coli
UniRef90_K5Y8F0|g__Parabacteroides.s__Parabacteroides_goldsteinii,997.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A2A2|g__Parabacteroides.s__Parabacteroides_goldsteinii,924.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZF52|g__Parabacteroides.s__Parabacteroides_goldsteinii,889.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,818.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A1AII0|g__Escherichia.s__Escherichia_coli,805.0,g__Escherichia.s__Escherichia_coli
UniRef90_N2B3F1|g__Parabacteroides.s__Parabacteroides_goldsteinii,788.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_X3F781|g__Escherichia.s__Escherichia_coli,768.0,g__Escherichia.s__Escherichia_coli
UniRef90_K6A8M1|g__Parabacteroides.s__Parabacteroides_goldsteinii,733.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGT5|g__Parabacteroides.s__Parabacteroides_goldsteinii,706.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z1A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,626.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_V2RK85|g__Mucispirillum.s__Mucispirillum_schaedleri,609.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,579.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,578.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X5K9|g__Parabacteroides.s__Parabacteroides_goldsteinii,518.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YTH8|g__Parabacteroides.s__Parabacteroides_goldsteinii,515.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,514.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVQ6|g__Parabacteroides.s__Parabacteroides_goldsteinii,512.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LEI5|g__Parabacteroides.s__Parabacteroides_goldsteinii,500.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LEH4|g__Parabacteroides.s__Parabacteroides_goldsteinii,475.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y132|g__Parabacteroides.s__Parabacteroides_goldsteinii,452.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AQ86|g__Parabacteroides.s__Parabacteroides_goldsteinii,442.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WQ56|g__Parabacteroides.s__Parabacteroides_goldsteinii,442.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z9T8|g__Parabacteroides.s__Parabacteroides_goldsteinii,435.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q59199|g__Parabacteroides.s__Parabacteroides_goldsteinii,429.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A0T5|g__Parabacteroides.s__Parabacteroides_goldsteinii,426.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGY8|g__Parabacteroides.s__Parabacteroides_goldsteinii,423.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6W2|g__Parabacteroides.s__Parabacteroides_goldsteinii,418.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AQH5|g__Parabacteroides.s__Parabacteroides_goldsteinii,408.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6Q5|g__Parabacteroides.s__Parabacteroides_goldsteinii,404.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ALG1|g__Parabacteroides.s__Parabacteroides_goldsteinii,395.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_V2QF42|g__Mucispirillum.s__Mucispirillum_schaedleri,388.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_K6AYR2|g__Parabacteroides.s__Parabacteroides_goldsteinii,387.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A3N1|g__Parabacteroides.s__Parabacteroides_goldsteinii,376.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6IBF4|g__Parabacteroides.s__Parabacteroides_goldsteinii,376.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_X2PD96|g__Escherichia.s__Escherichia_coli,376.0,g__Escherichia.s__Escherichia_coli
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,370.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDQ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,368.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_L2CS94|g__Escherichia.s__Escherichia_coli,365.0,g__Escherichia.s__Escherichia_coli
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,365.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_V2QDT2|g__Mucispirillum.s__Mucispirillum_schaedleri,361.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_K5ZTE6|g__Parabacteroides.s__Parabacteroides_goldsteinii,360.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,355.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZPH1|g__Parabacteroides.s__Parabacteroides_goldsteinii,354.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YJ12|g__Parabacteroides.s__Parabacteroides_goldsteinii,350.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
