GeneID,RPK,taxa
UNMAPPED|UNMAPPED,2164110.0,UNMAPPED
UniRef90_K5ZPH1|g__Parabacteroides.s__Parabacteroides_goldsteinii,80.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5ZYK8|unclassified,78.392045485,unclassified
UniRef90_R6IBF4|g__Parabacteroides.s__Parabacteroides_goldsteinii,78.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6BKY9|unclassified,74.4139631571,unclassified
UniRef90_A7VJ92|unclassified,74.2178235228,unclassified
UniRef90_R6X5K9|g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_G1Q1K5|unclassified,72.18045088630001,unclassified
UniRef90_K6A0B0|g__Parabacteroides.s__Parabacteroides_goldsteinii,72.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_G1Q6C2|unclassified,71.6600692731,unclassified
UniRef90_A6LEJ4|g__Parabacteroides.s__Parabacteroides_goldsteinii,68.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5Z319|unclassified,67.2904761567,unclassified
UniRef90_A5Z324|unclassified,67.0628920646,unclassified
UniRef90_K5ZAV2|g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI000468B91F|unclassified,66.7877849962,unclassified
UniRef90_K5ZGT5|g__Parabacteroides.s__Parabacteroides_goldsteinii,64.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_C7T763|unclassified,61.2709126261,unclassified
UniRef90_A6LA39|g__Parabacteroides.s__Parabacteroides_goldsteinii,61.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVJ6|g__Parabacteroides.s__Parabacteroides_goldsteinii,61.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AMZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,59.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R0CI69|unclassified,59.0,unclassified
UniRef90_A7VD51|unclassified,58.8617655941,unclassified
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,57.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZDX1|unclassified,57.0,unclassified
UniRef90_B1SBJ4|unclassified,56.174833721599995,unclassified
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_D6SA04|unclassified,55.730394253,unclassified
UniRef90_C7TFZ2|unclassified,55.6613118208,unclassified
UniRef90_Q5BXX7|unclassified,55.0497606583,unclassified
UniRef90_A8S539|unclassified,54.9118510543,unclassified
UniRef90_K6A3N1|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AGA7|g__Parabacteroides.s__Parabacteroides_goldsteinii,54.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6BGW3|unclassified,53.99665929060001,unclassified
UniRef90_UPI0002B431B5|unclassified,53.8795861569,unclassified
UniRef90_UPI0001871175|unclassified,53.827634069,unclassified
UniRef90_A6P026|unclassified,52.9846665143,unclassified
UniRef90_K5ZGL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,52.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7B8Q3|unclassified,51.1668764404,unclassified
UniRef90_Q5C0F6|unclassified,51.0,unclassified
UniRef90_R6X7I2|g__Parabacteroides.s__Parabacteroides_goldsteinii,50.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,50.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_C6JSD0|unclassified,49.728039047399996,unclassified
UniRef90_F5IGB6|unclassified,49.23772359,unclassified
UniRef90_A5KRI7|unclassified,49.0168062366,unclassified
UniRef90_A7B6Q1|unclassified,49.0168062366,unclassified
UniRef90_N2AX94|g__Parabacteroides.s__Parabacteroides_goldsteinii,49.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI0001DA96E4|unclassified,48.4005432541,unclassified
UniRef90_A6P028|unclassified,48.3379970912,unclassified
UniRef90_K5ZVM8|g__Parabacteroides.s__Parabacteroides_goldsteinii,48.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7LQH0|unclassified,47.8393723874,unclassified
UniRef90_A5Z2Z6|unclassified,47.373741771899994,unclassified
UniRef90_K5Z1A3|g__Parabacteroides.s__Parabacteroides_goldsteinii,47.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1K8|g__Parabacteroides.s__Parabacteroides_goldsteinii,47.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LDB7|g__Parabacteroides.s__Parabacteroides_goldsteinii,46.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AQ86|g__Parabacteroides.s__Parabacteroides_goldsteinii,46.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_F5RQN3|unclassified,45.875456491899996,unclassified
UniRef90_A5Z2Z7|unclassified,45.7666831974,unclassified
UniRef90_K5ZF52|g__Parabacteroides.s__Parabacteroides_goldsteinii,45.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X7A7|g__Parabacteroides.s__Parabacteroides_goldsteinii,45.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6Q5|g__Parabacteroides.s__Parabacteroides_goldsteinii,44.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5I7R5|g__Parabacteroides.s__Parabacteroides_goldsteinii,44.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A5K7|g__Parabacteroides.s__Parabacteroides_goldsteinii,43.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,42.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A4QMB0|unclassified,41.098175282,unclassified
UniRef90_K5ZHV1|g__Parabacteroides.s__Parabacteroides_goldsteinii,41.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
