uniref90,taxa,RPK
UniRef90_K6A1K8,g__Parabacteroides.s__Parabacteroides_goldsteinii,331.0
UniRef90_N2B405,g__Parabacteroides.s__Parabacteroides_goldsteinii,329.0
UniRef90_W8YEK8,unclassified,329.0
UniRef90_Q4YFB4,unclassified,326.104428715
UniRef90_Q4X4I2,unclassified,324.9052930332
UniRef90_A5ZYU0,unclassified,315.1180795396
UniRef90_A7AJP9,unclassified,313.0
UniRef90_K5Z513,g__Parabacteroides.s__Parabacteroides_goldsteinii,303.0
UniRef90_A5ZYU6,unclassified,299.8087020322
UniRef90_Q7R7I1,unclassified,296.5207439591
UniRef90_D1KAJ2,unclassified,291.44589546919997
UniRef90_Q7R7I2,unclassified,289.9367066284
UniRef90_Q8A6A5,g__Parabacteroides.s__Parabacteroides_goldsteinii,287.0
UniRef90_F6ZRP0,unclassified,281.0915424886
UniRef90_Q6QI14,unclassified,278.4112967308
UniRef90_Q5BXX7,unclassified,272.35368641720004
UniRef90_Q9QUJ6,unclassified,271.91279412389997
UniRef90_Q4YG33,unclassified,266.5214826021
UniRef90_P11260,unclassified,265.93347387020003
UniRef90_L7N280,unclassified,257.32249018740004
UniRef90_K6AYS9,g__Parabacteroides.s__Parabacteroides_goldsteinii,250.0
UniRef90_K6AYS9,unclassified,7.0
UniRef90_G1Q1K5,unclassified,255.8962883868
UniRef90_R9D7R0,unclassified,250.71097005
UniRef90_N2ANK6,g__Parabacteroides.s__Parabacteroides_goldsteinii,249.0
UniRef90_A5Z511,unclassified,248.94950768459998
UniRef90_UPI000156186B,unclassified,246.25297234400003
UniRef90_UPI00019656B7,unclassified,246.01678662310002
UniRef90_A7B5X1,unclassified,244.8910228257
UniRef90_G1Q6C2,unclassified,244.82112434889999
UniRef90_Q4YL01,unclassified,242.9229042281
UniRef90_UPI00019660E0,unclassified,239.6922003775
UniRef90_Q4X4D5,unclassified,235.9446313788
UniRef90_Q7R7M7,unclassified,235.6719797161
UniRef90_N1ZD63,g__Clostridium.s__Clostridium_sp_ASF356,232.0
UniRef90_A8SIA6,unclassified,230.6030743035
