genus,reads
g__Podospora,53.0
g__Polaromonas,4.0
g__Porphyromonas,44.0
g__Prevotella,258.0
g__Prochlorothrix,2.0
g__Propionibacterium,83.0
g__Prosthecochloris,17.0
g__Proteus,1.0
g__Pseudoalteromonas,3.0
g__Pseudoflavonifractor,9.0
g__Pseudomonas,51.0
g__Pseudonocardia,4.0
g__Pseudoramibacter,1.0
g__Pseudovibrio,1.0
g__Pseudoxanthomonas,7.0
g__Pyramidobacter,1.0
g__Pyrenophora,4.0
g__Ralstonia,13.0
g__Ramlibacter,2.0
g__Rhizobium,6.0
g__Rhodanobacter,1.0
g__Rhodococcus,533.0
g__Rhodopseudomonas,7.0
g__Rhodospirillum,3.0
g__Rickettsia,3.0
g__Riemerella,1.0
g__Roseburia,19.0
g__Roseobacter,1.0
g__Rubrivivax,2.0
g__Rudaea,2.0
g__Ruminococcus,56.0
g__Runella,1.0
g__Saccharomyces,18.0
g__Salmonella,4.0
g__Sandarakinorhabdus,1.0
g__Scheffersomyces,9.0
g__Schizophyllum,27.0
g__Schlesneria,10.0
g__Sclerotinia,74.0
g__Scytonema,101.0
g__Selenomonas,4.0
g__Shewanella,2.0
g__Shigella,128.0
g__Sideroxydans,1.0
g__Singularimonas,5.0
g__Sinorhizobium,15.0
g__Slackia,3.0
g__Sordaria,49.0
g__Sphingobacterium,1.0
g__Sphingobium,13.0
g__Sphingomonas,6.0
g__Sphingopyxis,1.0
g__Spirochaeta,7.0
g__Spirulina,2.0
g__Staphylococcus,10.0
g__Stenotrophomonas,7.0
g__Streptococcus,408.0
g__Streptomyces,60.0
g__Subdoligranulum,12.0
g__Sutterella,33.0
g__Talaromyces,6.0
g__Tannerella,7.0
g__Tetrahymena,16.0
g__Tetrapisispora,1.0
g__Tetrasphaera,2.0
g__Thalassiosira,280.0
g__Thermosinus,8.0
g__Thermus,2.0
g__Thielavia,19.0
g__Thioalkalivibrio,3.0
g__Thiobacillus,2.0
g__Torulaspora,1.0
g__Toxoplasma,38.0
g__Treponema,1.0
g__Trichodesmium,1.0
g__Trichomonas,3.0
g__Trichophyton,23.0
g__Trypanosoma,33.0
g__Tuber,19.0
g__Uncinocarpus,1.0
g__Ustilago,11.0
g__Variovorax,23.0
g__Verminephrobacter,2.0
g__Verticillium,1.0
g__Vibrio,32.0
g__Weissella,2.0
g__Wenxinia,4.0
g__Xanthobacter,1.0
g__Xanthomonas,11.0
g__Xenorhabdus,1.0
g__Xylella,4.0
g__Yarrowia,47.0
g__Yersinia,5.0
g__Zymomonas,3.0
g__Zymoseptoria,10.0
