Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,99418,105,141.95848797885114
root;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Pedobacter;s_Pedobacter cryoconitis,8979,78,136.52014143231915
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium taeniosporum,11418,147,132.7906880200488
root;k_Viruses;p_;c_;o_Bunyavirales;f_Peribunyaviridae;g_Orthobunyavirus;s_Shamonda orthobunyavirus,151,20,132.45033112582783
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium novyi,19461,68,119.22339150231713
root;k_Bacteria;p_Proteobacteria,53262,126,114.11606254855161
root;k_Bacteria;p_Bacteroidetes,97406,161,111.01640289408384
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter guillouiae,2730,32,110.52197478496524
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Moraxella;s_Moraxella catarrhalis,450,49,108.88888888888889
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales;f_Oceanospirillaceae;g_Marinomonas;s_Marinomonas posidonica,1110,111,99.99999999999999
root;k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium;s_Fusobacterium nucleatum,52296,127,98.85664817193222
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Alkaliphilus;s_Alkaliphilus metalliredigens,8913,37,98.29229443437734
root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma;s_Mycoplasma dispar,257,25,97.27626459143968
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,14445,72,96.23355878026946
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminiclostridium;s_Ruminiclostridium sp. KB18,2259,39,95.3141005285369
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium botulinum,74688,120,95.14259538938704
root;k_Bacteria;p_Thermotogae;c_Thermotogae;o_Petrotogales;f_;g_Marinitoga;s_Marinitoga piezophila,1245,36,90.06898603672798
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas,29874,197,88.45106148903912
root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Liberibacter;s_Liberibacter crescens,3882,25,86.71646711910701
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Marinilabiliaceae;g_Anaerophaga;s_uncultured Anaerophaga sp.,150,13,86.66666666666667
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Planococcaceae;g_Solibacillus;s_Solibacillus silvestris,1431,62,86.10319721430832
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Coprococcus;s_Coprococcus catus,5940,84,85.43874053017326
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus capitis,4572,107,84.66274487424437
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Geosporobacter;s_Geosporobacter ferrireducens,15231,122,83.99518566171241
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Natranaerobiales;f_Natranaerobiaceae;g_Natranaerobius;s_Natranaerobius thermophilus,2865,41,82.6170564169023
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,36064,48,82.5039444772399
