uniref90,taxa,RPK
UniRef90_UPI000156186B,unclassified,287.3420387353
UniRef90_K5ZYR5,g__Parabacteroides.s__Parabacteroides_goldsteinii,285.0
UniRef90_K5ZZY7,g__Parabacteroides.s__Parabacteroides_goldsteinii,282.0
UniRef90_J3QMM9,unclassified,278.65794316150004
UniRef90_A5ZYU6,unclassified,276.19553154060003
UniRef90_Q7R7B9,unclassified,265.36531455709996
UniRef90_K5ZUN2,g__Parabacteroides.s__Parabacteroides_goldsteinii,264.0
UniRef90_G6AJF3,unclassified,262.3634581195
UniRef90_Q7R7J7,unclassified,261.606152753
UniRef90_Q4YIR0,unclassified,255.05552754599998
UniRef90_E9RZN0,unclassified,255.0
UniRef90_A5Z511,unclassified,253.45867859939997
UniRef90_N2ASE1,g__Parabacteroides.s__Parabacteroides_goldsteinii,253.0
UniRef90_J3KMP5,unclassified,252.81832499360002
UniRef90_UPI0001FD331E,unclassified,252.5108543002
UniRef90_Q7R7J3,unclassified,247.6787625432
UniRef90_Q8CCG8,unclassified,244.44684975650003
UniRef90_D4VKI7,g__Parabacteroides.s__Parabacteroides_goldsteinii,240.0
UniRef90_K5ZU07,g__Parabacteroides.s__Parabacteroides_goldsteinii,239.0
UniRef90_N1Z3G2,g__Clostridium.s__Clostridium_sp_ASF356,239.0
UniRef90_A7B8Q0,unclassified,237.4859946705
UniRef90_N1ZDX1,g__Clostridium.s__Clostridium_sp_ASF356,233.0
UniRef90_N2B6Q5,g__Parabacteroides.s__Parabacteroides_goldsteinii,233.0
UniRef90_K6A0T5,g__Parabacteroides.s__Parabacteroides_goldsteinii,231.0
UniRef90_G7SQ06,unclassified,229.8937589787
UniRef90_N1Z1T4,g__Clostridium.s__Clostridium_sp_ASF356,223.0
UniRef90_K5Z513,g__Parabacteroides.s__Parabacteroides_goldsteinii,222.0
UniRef90_D5GZ89,unclassified,221.9292904957
UniRef90_H4BMF2,unclassified,221.1307439042
UniRef90_N1ZHM2,g__Clostridium.s__Clostridium_sp_ASF356,221.0
UniRef90_Q5L7N5,g__Parabacteroides.s__Parabacteroides_goldsteinii,221.0
UniRef90_Q4Y9G9,unclassified,220.6793343877
UniRef90_Q4YDI1,unclassified,217.9385121814
UniRef90_N2BCN4,g__Parabacteroides.s__Parabacteroides_goldsteinii,210.0
UniRef90_T1DKC0,unclassified,203.6614619726
UniRef90_Q4YJW7,unclassified,202.5626344902
UniRef90_N1ZK91,g__Clostridium.s__Clostridium_sp_ASF356,201.0
UniRef90_N1ZD44,g__Clostridium.s__Clostridium_sp_ASF356,196.0
UniRef90_I7GIE7,unclassified,195.6380705352
UniRef90_F1YWH0,unclassified,192.5956585226
UniRef90_Q7R849,unclassified,191.3619666526
UniRef90_K6AQ86,g__Parabacteroides.s__Parabacteroides_goldsteinii,190.0
UniRef90_W4SH06,unclassified,189.0327065043
UniRef90_A6LIG0,g__Parabacteroides.s__Parabacteroides_goldsteinii,189.0
UniRef90_N1ZLN7,g__Clostridium.s__Clostridium_sp_ASF356,189.0
UniRef90_K5ZGT5,g__Parabacteroides.s__Parabacteroides_goldsteinii,183.0
UniRef90_R6XBD7,g__Parabacteroides.s__Parabacteroides_goldsteinii,182.0
UniRef90_J3SBR0,unclassified,176.4705011721
UniRef90_K5ZEK9,g__Parabacteroides.s__Parabacteroides_goldsteinii,176.0
UniRef90_N1ZS05,g__Clostridium.s__Clostridium_sp_ASF356,176.0
UniRef90_UPI000185C9BD,unclassified,173.9454109587
UniRef90_J3QMT9,unclassified,173.5065035717
UniRef90_Q4YDJ6,unclassified,173.4931394059
UniRef90_F7AA48,unclassified,172.06318988779998
UniRef90_Q4YJX9,unclassified,170.14544980620002
