taxa,RPK
g__Betaretrovirus.s__Mouse_mammary_tumor_virus,3.0
g__Blautia.s__Blautia_producta,3393.0
g__Clostridium.s__Clostridium_sp_ASF356,35989.0
g__Gammaretrovirus.s__Murine_osteosarcoma_virus,6.0
g__Lactobacillus.s__Lactobacillus_murinus,1584.0
g__Mucispirillum.s__Mucispirillum_schaedleri,6544.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,132287.0
