genus,reads
g__Achromobacter,1.0
g__Acidovorax,63.0
g__Acinetobacter,91.0
g__Actinomyces,59.0
g__Actinoplanes,1.0
g__Aeromonas,10.0
g__Afipia,11.0
g__Ajellomyces,16.0
g__Alcaligenes,5.0
g__Alcanivorax,5.0
g__Alicycliphilus,5.0
g__Aliivibrio,3.0
g__Alistipes,35.0
g__Alloprevotella,3.0
g__Amycolatopsis,1.0
g__Anaerostipes,183.0
g__Anaerotruncus,4.0
g__Arthrobacter,5.0
g__Arthroderma,15.0
g__Arthrospira,1.0
g__Aspergillus,10.0
g__Asticcacaulis,4.0
g__Atopobium,1.0
g__Babesia,2.0
g__Bacillus,418.0
g__Bacteroidales_noname,4.0
g__Bacteroides,26904.0
g__Barnesiella,1534.0
g__Bdellovibrio,1.0
g__Bifidobacterium,6.0
g__Bilophila,1.0
g__Blastomonas,1.0
g__Blattabacterium,5.0
g__Blautia,12615.0
g__Bordetella,2.0
g__Botryotinia,129.0
g__Brachybacterium,10.0
g__Brachyspira,2.0
g__Bradyrhizobiaceae_noname,8.0
g__Bradyrhizobium,157.0
g__Brevibacterium,5.0
g__Brevundimonas,12.0
g__Brucella,49.0
g__Burkholderia,9.0
g__Burkholderiales_noname,1.0
g__Butyrivibrio,3.0
g__Caldalkalibacillus,1.0
g__Caldanaerobacter,19.0
g__Campylobacter,5.0
g__Candida,16.0
g__Candidatus_Hamiltonella,6.0
g__Candidatus_Regiella,7.0
g__Capnocytophaga,7.0
g__Carnobacterium,498.0
g__Caulobacter,49.0
g__Cellvibrio,1.0
g__Centipeda,9.0
g__Chaetomium,7.0
g__Chlamydia,939.0
g__Chlorobium,1.0
g__Chryseobacterium,1.0
g__Citrobacter,5.0
g__Clavispora,3.0
g__Clostridiales_noname,278.0
g__Clostridium,54926.0
g__Coccidioides,5.0
g__Collinsella,4.0
g__Comamonas,2.0
g__Conexibacter,1.0
g__Coprinopsis,3.0
g__Coprobacillus,2.0
g__Coprococcus,165.0
g__Corynebacterium,31.0
g__Coxiella,4.0
g__Cronobacter,3.0
g__Cryocola,1.0
g__Cupriavidus,2.0
g__Curtobacterium,4.0
g__Curvibacter,41.0
g__Cyanothece,1.0
g__Cytophaga,1.0
g__Debaryomyces,1.0
g__Deinococcus,3.0
g__Delftia,12.0
g__Denitrovibrio,1.0
g__Desulfobacca,1.0
g__Desulfotomaculum,2.0
g__Desulfovibrio,2.0
g__Dickeya,1.0
g__Dictyostelium,15.0
g__Dorea,2077.0
g__Edwardsiella,1.0
g__Elizabethkingia,4.0
g__Enhydrobacter,1.0
g__Enterobacter,6.0
g__Enterococcus,766.0
g__Enterovibrio,2.0
g__Eremothecium,3.0
g__Erysipelothrix,12.0
g__Erysipelotrichaceae_noname,3.0
g__Escherichia,668.0
g__Eubacteriaceae_noname,1.0
g__Eubacterium,1851.0
g__Facklamia,3.0
g__Faecalibacterium,59.0
g__Filobasidiella,1.0
g__Finegoldia,3.0
g__Flavobacteriaceae_noname,5.0
g__Flavobacteriia_noname,12.0
g__Flavobacterium,4.0
g__Fusobacterium,10.0
g__Gammaproteobacteria_noname,10.0
g__Geitlerinema,8.0
g__Geodermatophilus,1.0
g__Geovibrio,1.0
g__Giardia,1.0
g__Gordonia,3.0
g__Haemophilus,12.0
g__Haliscomenobacter,3.0
g__Halomonas,1.0
g__Helicobacter,7.0
g__Heliobacterium,83.0
g__Herbaspirillum,1.0
g__Hydrocarboniphaga,3.0
g__Hydrogenophaga,5.0
g__Idiomarina,5.0
g__Isoptericola,1.0
g__Janthinobacterium,3.0
g__Johnsonella,1.0
g__Kitasatospora,1.0
g__Klebsiella,5.0
g__Kluyveromyces,1.0
g__Kocuria,7.0
g__Kordiimonas,1.0
g__Kosakonia,3.0
g__Kytococcus,2.0
g__Laccaria,22.0
g__Lachnobacterium,2.0
g__Lachnospiraceae_noname,386.0
g__Lactobacillus,2395.0
g__Lactococcus,7.0
g__Legionella,13.0
g__Leifsonia,1.0
g__Leishmania,22.0
g__Leptonema,1.0
g__Leptosphaeria,39.0
g__Leptospira,47.0
g__Leptothrix,4.0
g__Leptotrichia,2.0
g__Leuconostoc,10.0
g__Limnohabitans,8.0
g__Listeria,53.0
g__Loktanella,2.0
g__Magnaporthe,10.0
g__Malassezia,4.0
g__Mannheimia,1.0
g__Marinomonas,1.0
g__Marvinbryantia,18.0
g__Massilia,6.0
g__Mesorhizobium,172.0
g__Methanosarcina,3.0
g__Methylibium,3.0
g__Methylobacterium,14.0
g__Methylocella,4.0
g__Methylophilus,2.0
g__Methylosinus,1.0
g__Methylotenera,4.0
g__Methyloversatilis,1.0
g__Microbacterium,4.0
g__Micrococcus,16.0
g__Mucispirillum,8436.0
g__Myceliophthora,74.0
g__Mycobacterium,4.0
g__Mycoplasma,10.0
g__Myroides,1.0
g__Natrialba,1.0
g__Naumovozyma,14.0
g__Nautilia,1.0
g__Neisseria,13.0
g__Neosartorya,3.0
g__Neospora,6.0
g__Neurospora,5.0
g__Nevskia,2.0
g__Nitrobacter,1.0
g__Nocardia,2.0
g__Nocardioides,7.0
g__Novosphingobium,7.0
g__Ochrobactrum,1.0
g__Octadecabacter,4.0
g__Odoribacter,1.0
g__Oenococcus,1.0
g__Oligella,2.0
g__Oribacterium,3.0
g__Oscillatoria,18.0
g__Oscillibacter,2.0
g__Paenibacillus,22.0
g__Parabacteroides,197777.0
g__Parachlamydia,3.0
g__Paracoccidioides,12.0
g__Paracoccus,2.0
g__Paraprevotella,14.0
g__Parastagonospora,4.0
g__Parvimonas,28.0
g__Pasteurella,1.0
g__Pectobacterium,3.0
g__Pediococcus,308.0
g__Pedosphaera,1.0
g__Penicillium,1.0
g__Peptoniphilus,2.0
g__Peptostreptococcaceae_noname,176.0
g__Perkinsus,80.0
g__Phenylobacterium,2.0
g__Planctomycetaceae_noname,3.0
g__Plasmodium,16073.0
g__Podospora,10.0
g__Polaromonas,5.0
g__Polynucleobacter,5.0
g__Porphyromonas,40.0
g__Prevotella,837.0
g__Propionibacterium,124.0
g__Providencia,7.0
g__Pseudacidovorax,2.0
g__Pseudoalteromonas,8.0
g__Pseudoflavonifractor,11.0
g__Pseudomonas,61.0
g__Pseudonocardia,2.0
g__Pseudoramibacter,3.0
g__Pseudovibrio,15.0
g__Pseudoxanthomonas,2.0
g__Pyrenophora,1.0
g__Rahnella,5.0
g__Ralstonia,7.0
g__Ramlibacter,6.0
g__Rheinheimera,17.0
g__Rhizobium,2.0
g__Rhodobacterales_noname,1.0
g__Rhodococcus,398.0
g__Rhodopseudomonas,12.0
g__Rhodospirillales_noname,4.0
g__Rhodospirillum,3.0
g__Rickettsia,3.0
g__Riemerella,4.0
g__Roseburia,6.0
g__Roseobacter,1.0
g__Rothia,21.0
g__Rubrivivax,5.0
g__Ruegeria,2.0
g__Ruminococcaceae_noname,20.0
g__Ruminococcus,77.0
g__Saccharomyces,18.0
g__Salmonella,12.0
g__Scardovia,1.0
g__Scheffersomyces,1.0
g__Schizophyllum,6.0
g__Sclerotinia,64.0
g__Scytonema,6.0
g__Selenomonas,1.0
g__Serinicoccus,1.0
g__Serratia,14.0
g__Shewanella,6.0
g__Shigella,267.0
g__Shinella,1.0
g__Sinorhizobium,41.0
g__Sorangium,1.0
g__Sordaria,3.0
g__Sphingobacterium,2.0
g__Sphingobium,19.0
g__Sphingomonas,9.0
g__Sphingopyxis,2.0
g__Spirulina,1.0
g__Staphylococcus,34.0
g__Stenotrophomonas,3.0
g__Streptococcus,424.0
g__Streptomyces,25.0
g__Subdoligranulum,6.0
g__Sutterella,18.0
g__Tannerella,14.0
g__Tetrahymena,11.0
g__Tetrasphaera,3.0
g__Thalassiosira,13.0
g__Thauera,1.0
g__Thermoanaerobacter,1.0
g__Thermus,2.0
g__Thielavia,7.0
g__Thioalkalivibrio,2.0
g__Thiobacillus,2.0
g__Thiocystis,1.0
g__Thiomonas,2.0
g__Toxoplasma,22.0
g__Trichophyton,8.0
g__Trypanosoma,2.0
g__Tuber,9.0
g__Ustilago,4.0
g__Variovorax,20.0
g__Verminephrobacter,1.0
g__Verrucosispora,2.0
g__Vibrio,1616.0
g__Xanthobacter,3.0
g__Xanthomonas,17.0
g__Xylella,1.0
g__Yaniella,1.0
g__Yarrowia,15.0
g__Yersinia,96.0
g__Zymoseptoria,2.0
