genus,reads
g__Porphyromonas,9.0
g__Prevotella,193.0
g__Promicromonospora,1.0
g__Propionibacterium,580.0
g__Prosthecochloris,1.0
g__Providencia,2.0
g__Pseudacidovorax,1.0
g__Pseudoalteromonas,50.0
g__Pseudoflavonifractor,5.0
g__Pseudomonas,1307.0
g__Pseudoramibacter,94.0
g__Pseudovibrio,6.0
g__Pseudoxanthomonas,1.0
g__Psychrobacter,1.0
g__Pusillimonas,1.0
g__Pyrenophora,14.0
g__Rahnella,253.0
g__Ralstonia,506.0
g__Ramlibacter,9.0
g__Rheinheimera,27.0
g__Rhizobium,17.0
g__Rhodobacter,2.0
g__Rhodococcus,1384.0
g__Rhodopseudomonas,74.0
g__Rhodospirillales_noname,68.0
g__Roseburia,1.0
g__Rothia,13.0
g__Rubellimicrobium,4.0
g__Rubrivivax,19.0
g__Rudaea,1.0
g__Ruminococcus,309.0
g__Saccharomyces,40.0
g__Sagittula,1.0
g__Salmonella,110.0
g__Scheffersomyces,280.0
g__Schizophyllum,7.0
g__Schlesneria,1.0
g__Sclerotinia,4.0
g__Serinicoccus,7.0
g__Serratia,10.0
g__Shewanella,1.0
g__Shigella,2484.0
g__Singularimonas,13.0
g__Sinorhizobium,29.0
g__Sordaria,136.0
g__Sphingobium,28.0
g__Sphingomonas,107.0
g__Sphingopyxis,10.0
g__Spirosoma,48.0
g__Staphylococcus,164.0
g__Stenotrophomonas,11.0
g__Streptococcus,418.0
g__Streptomyces,90.0
g__Sulfurihydrogenibium,4.0
g__Sutterella,2.0
g__Synechococcus,2.0
g__Talaromyces,34.0
g__Tannerella,207.0
g__Terriglobus,2.0
g__Thalassiosira,234.0
g__Thauera,2.0
g__Thermaerobacter,18.0
g__Thermus,1.0
g__Thielavia,336.0
g__Thioalkalivibrio,26.0
g__Thiomonas,4.0
g__Thiorhodovibrio,1.0
g__Toxoplasma,53.0
g__Tuber,1.0
g__Ustilago,5.0
g__Vanderwaltozyma,4.0
g__Variovorax,7.0
g__Veillonella,13.0
g__Verminephrobacter,14.0
g__Verticillium,146.0
g__Vibrio,16.0
g__Xanthobacter,2.0
g__Xanthomonas,2.0
g__Xylella,1.0
g__Yarrowia,2.0
g__Zymoseptoria,560.0
