taxa,reads
g__Achromobacter.s__Achromobacter_arsenitoxydans,1.0
g__Achromobacter.s__Achromobacter_piechaudii,8.0
g__Achromobacter.s__Achromobacter_xylosoxidans,1.0
g__Acidithiobacillus.s__Acidithiobacillus_sp_GGI_221,1.0
g__Acidovorax.s__Acidovorax_avenae,2.0
g__Acidovorax.s__Acidovorax_citrulli,6.0
g__Acidovorax.s__Acidovorax_delafieldii,1.0
g__Acidovorax.s__Acidovorax_ebreus,8.0
g__Acidovorax.s__Acidovorax_radicis,24.0
g__Acidovorax.s__Acidovorax_sp_CF316,5.0
g__Acidovorax.s__Acidovorax_sp_JS42,44.0
g__Acidovorax.s__Acidovorax_sp_KKS102,39.0
g__Acidovorax.s__Acidovorax_sp_MR_S7,3.0
g__Acidovorax.s__Acidovorax_sp_NO_1,18.0
g__Acinetobacter.s__Acinetobacter_baumannii,6.0
g__Acinetobacter.s__Acinetobacter_beijerinckii,1.0
g__Acinetobacter.s__Acinetobacter_johnsonii,8.0
g__Acinetobacter.s__Acinetobacter_junii,12.0
g__Acinetobacter.s__Acinetobacter_lwoffii,21.0
g__Acinetobacter.s__Acinetobacter_parvus,1.0
g__Acinetobacter.s__Acinetobacter_radioresistens,2.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3862,1.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3929,1.0
g__Acinetobacter.s__Acinetobacter_sp_ANC_3994,2.0
g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_102637,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_64_7,1.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_284,2.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,29.0
g__Acinetobacter.s__Acinetobacter_tjernbergiae,3.0
g__Acinetobacter.s__Acinetobacter_ursingii,2.0
g__Acinetobacter.s__Acinetobacter_venetianus,1.0
g__Actinobacillus.s__Actinobacillus_pleuropneumoniae,68.0
g__Actinomyces.s__Actinomyces_naeslundii,3.0
g__Actinomyces.s__Actinomyces_odontolyticus,43.0
g__Actinomyces.s__Actinomyces_sp_HPA0247,3.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_171,2.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_172,1.0
g__Actinomyces.s__Actinomyces_sp_oral_taxon_175,1.0
g__Actinomyces.s__Actinomyces_viscosus,8.0
g__Actinoplanes.s__Actinoplanes_globisporus,2.0
g__Aeromonas.s__Aeromonas_media,4.0
