GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1900477.0,UNMAPPED
UniRef90_A7VD49|unclassified,146.8589672214,unclassified
UniRef90_Q4YI79|unclassified,145.68572633969998,unclassified
UniRef90_A7B5X1|unclassified,142.4060344191,unclassified
UniRef90_Q7R7L8|unclassified,141.6045955424,unclassified
UniRef90_A5KRL1|unclassified,138.7041425179,unclassified
UniRef90_N1ZHM2|unclassified,135.0295122643,unclassified
UniRef90_K6AX53|g__Parabacteroides.s__Parabacteroides_goldsteinii,134.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_G7SQ06|unclassified,133.7377851723,unclassified
UniRef90_A2VD29|unclassified,133.0822170683,unclassified
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,132.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A6P6|g__Parabacteroides.s__Parabacteroides_goldsteinii,131.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1Z5G2|unclassified,131.0,unclassified
UniRef90_N1ZJF3|unclassified,131.0,unclassified
UniRef90_Q4YK64|unclassified,129.8607670093,unclassified
UniRef90_W6U045|unclassified,129.256551521,unclassified
UniRef90_K8EDY4|unclassified,129.1372958677,unclassified
UniRef90_N2BA98|g__Parabacteroides.s__Parabacteroides_goldsteinii,128.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,128.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZD44|unclassified,127.63277612540001,unclassified
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDK4|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A0M8|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_W2CMU2|unclassified,126.89964426430001,unclassified
UniRef90_N2BJ19|g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6IBF4|g__Parabacteroides.s__Parabacteroides_goldsteinii,126.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZJP4|unclassified,125.0,unclassified
UniRef90_Q4X813|unclassified,123.77651418549999,unclassified
UniRef90_K5ZST5|g__Parabacteroides.s__Parabacteroides_goldsteinii,122.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI000185C9BD|unclassified,121.24881325540001,unclassified
UniRef90_Q4YHQ3|unclassified,120.4292172427,unclassified
UniRef90_N2AGZ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,120.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y486|g__Parabacteroides.s__Parabacteroides_goldsteinii,118.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,115.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_X1DQU4|unclassified,113.48987846610001,unclassified
UniRef90_A6LIG0|g__Parabacteroides.s__Parabacteroides_goldsteinii,113.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q59199|g__Parabacteroides.s__Parabacteroides_goldsteinii,110.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YY74|g__Parabacteroides.s__Parabacteroides_goldsteinii,109.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI0001FABDB5|unclassified,108.13033013229999,unclassified
UniRef90_K6AGP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,108.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZDV0|unclassified,107.20115875399999,unclassified
UniRef90_G1Q1K5|unclassified,107.0032223,unclassified
UniRef90_A5ZQM3|unclassified,106.27727488299999,unclassified
UniRef90_K5ZV60|g__Parabacteroides.s__Parabacteroides_goldsteinii,106.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AR07|g__Parabacteroides.s__Parabacteroides_goldsteinii,106.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_G1Q6C2|unclassified,104.82675683,unclassified
UniRef90_K5Y8G4|g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1Z3G2|unclassified,103.0,unclassified
UniRef90_N2AMZ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B3Q6|g__Parabacteroides.s__Parabacteroides_goldsteinii,103.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7VEU0|unclassified,102.87056203520001,unclassified
UniRef90_Q4YJ71|unclassified,102.8528712751,unclassified
UniRef90_A5ZYV5|unclassified,102.85050941280001,unclassified
UniRef90_Q7R7D8|unclassified,102.17863033399999,unclassified
UniRef90_K5Y8F0|g__Parabacteroides.s__Parabacteroides_goldsteinii,101.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YYR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,101.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZEC5|g__Parabacteroides.s__Parabacteroides_goldsteinii,101.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_UPI0002487685|unclassified,100.8016479051,unclassified
UniRef90_A5ZYV3|unclassified,100.2974988507,unclassified
UniRef90_K5ZYN1|g__Parabacteroides.s__Parabacteroides_goldsteinii,100.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R0CI69|unclassified,97.5235163923,unclassified
UniRef90_A6BKY9|unclassified,97.16841623170001,unclassified
UniRef90_A7VJ92|unclassified,97.02465786399999,unclassified
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,97.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZM68|unclassified,97.0,unclassified
