genus,reads
g__Achromobacter,10.0
g__Acidithiobacillus,1.0
g__Acidovorax,150.0
g__Acinetobacter,95.0
g__Actinobacillus,68.0
g__Actinomyces,61.0
g__Actinoplanes,2.0
g__Aeromonas,7.0
g__Afipia,62.0
g__Agrobacterium,91.0
g__Ajellomyces,1.0
g__Akkermansia,1.0
g__Alcanivorax,8.0
g__Alicycliphilus,12.0
g__Alistipes,12.0
g__Alloprevotella,2.0
g__Anaerococcus,1.0
g__Anaerostipes,69.0
g__Anaerotruncus,1.0
g__Arthrobacter,8.0
g__Arthroderma,5.0
g__Aspergillus,42.0
g__Asticcacaulis,23.0
g__Azoarcus,1.0
g__Azorhizobium,2.0
g__Azospira,7.0
g__Babesia,4.0
g__Bacillus,36.0
g__Bacteroides,15798.0
g__Barnesiella,1416.0
g__Bavariicoccus,2.0
g__Bdellovibrio,10.0
g__Bifidobacterium,2.0
g__Blastomonas,20.0
g__Blattabacterium,40.0
g__Blautia,6956.0
g__Bordetella,23.0
g__Botryotinia,1.0
g__Brachybacterium,17.0
g__Bradyrhizobiaceae_noname,17.0
g__Bradyrhizobium,760.0
g__Brevibacterium,8.0
g__Brevundimonas,14.0
g__Brucella,17.0
g__Burkholderia,44.0
g__Burkholderiales_noname,3.0
g__Caldalkalibacillus,14.0
g__Caldanaerobacter,11.0
g__Caldimonas,3.0
g__Campylobacter,3.0
g__Candida,7.0
g__Candidatus_Accumulibacter,1.0
g__Candidatus_Saccharibacteria_noname,1.0
g__Capnocytophaga,1.0
g__Carnobacterium,606.0
g__Caulobacter,143.0
g__Chaetomium,31.0
g__Chamaesiphon,1.0
g__Chelativorans,2.0
g__Chelatococcus,9.0
g__Chlamydia,390.0
g__Chromobacterium,7.0
g__Chryseobacterium,2.0
g__Citrobacter,9.0
g__Citromicrobium,13.0
g__Clostridium,16465.0
g__Coccidioides,5.0
g__Collimonas,4.0
g__Collinsella,21.0
g__Comamonas,3.0
g__Coprinopsis,1.0
g__Coprobacter,3228.0
g__Coprococcus,126.0
g__Corynebacterium,72.0
g__Coxiella,61.0
g__Cronobacter,1.0
g__Cryocola,2.0
g__Cupriavidus,31.0
g__Curvibacter,150.0
g__Cylindrospermum,3.0
g__Cytophaga,1.0
g__Debaryomyces,3.0
g__Deinococcus,1.0
g__Delftia,5.0
g__Demetria,1.0
g__Desulfococcus,4.0
g__Desulfovibrio,4.0
g__Desulfurivibrio,1.0
g__Dickeya,2.0
g__Dictyostelium,1.0
g__Dorea,144.0
g__Duganella,4.0
g__Dyella,1.0
g__Ectothiorhodospira,1.0
g__Edwardsiella,1.0
g__Elizabethkingia,7.0
g__Enhydrobacter,29.0
g__Entamoeba,2.0
g__Enterobacter,8.0
g__Enterococcus,164.0
g__Eremothecium,1.0
g__Erysipelothrix,3.0
g__Erythrobacter,3.0
g__Escherichia,2387.0
g__Eubacterium,132.0
g__Faecalibacterium,34.0
g__Fischerella,1.0
g__Flavobacteriaceae_noname,1.0
g__Flavobacteriia_noname,104.0
g__Flavobacterium,10.0
g__Fodinicurvata,1.0
g__Fulvimarina,8.0
g__Fusarium,8.0
g__Gallionella,2.0
g__Gammaproteobacteria_noname,2.0
g__Geitlerinema,1.0
g__Geobacillus,1.0
g__Geodermatophilus,3.0
g__Gordonia,5.0
g__Granulicella,1.0
g__Haemophilus,3.0
g__Haliscomenobacter,1.0
g__Halomonas,4.0
g__Helicobacter,11.0
g__Heliobacterium,24.0
g__Hoeflea,12.0
g__Hydrocarboniphaga,8.0
g__Hydrogenophaga,19.0
g__Hylemonella,5.0
g__Hyphomicrobium,4.0
g__Ideonella,6.0
g__Janibacter,8.0
g__Janthinobacterium,3.0
g__Johnsonella,1.0
g__Kineosphaera,2.0
g__Klebsiella,18.0
g__Kluyveromyces,12.0
g__Kocuria,25.0
g__Komagataella,7.0
g__Kytococcus,34.0
g__Laccaria,4.0
g__Lachnospiraceae_noname,434.0
g__Lacinutrix,5.0
g__Lactobacillus,1443.0
g__Lactococcus,5.0
g__Legionella,2.0
g__Leifsonia,3.0
g__Leishmania,9.0
g__Leptosphaeria,157.0
g__Leptospira,1.0
g__Leptothrix,9.0
g__Leptotrichia,1.0
g__Leuconostoc,10.0
g__Limnohabitans,22.0
g__Listeria,23.0
g__Lodderomyces,5.0
g__Magnaporthe,7.0
g__Malassezia,5.0
g__Marichromatium,3.0
g__Marinobacterium,1.0
g__Marvinbryantia,9.0
g__Massilia,3.0
g__Meiothermus,1.0
g__Mesorhizobium,461.0
g__Methylibium,7.0
g__Methylobacterium,33.0
g__Methylocystis,1.0
g__Methylophilus,6.0
g__Methylosinus,1.0
g__Methylotenera,1.0
g__Methyloversatilis,43.0
g__Microbacterium,23.0
g__Micrococcus,112.0
g__Micromonospora,1.0
g__Millerozyma,10.0
g__Moniliophthora,1.0
g__Moraxella,3.0
g__Mucispirillum,2930.0
g__Myceliophthora,121.0
g__Mycobacterium,107.0
g__Natrialba,2.0
g__Naumovozyma,4.0
g__Neisseria,12.0
g__Neosartorya,7.0
g__Neurospora,50.0
g__Nevskia,16.0
g__Niabella,2.0
g__Niastella,6.0
g__Nitratireductor,7.0
g__Nitrobacter,8.0
g__Nocardioides,2.0
g__Novosphingobium,39.0
g__Oceanibaculum,5.0
g__Odoribacter,2.0
g__Oligotropha,1.0
g__Opitutaceae_noname,2.0
g__Paenibacillus,975.0
g__Pantoea,2.0
g__Parabacteroides,124605.0
g__Paracoccidioides,1.0
g__Paracoccus,4.0
g__Paraprevotella,13.0
g__Parastagonospora,2.0
g__Parvimonas,1.0
g__Pasteurella,1.0
g__Patulibacter,5.0
g__Pectobacterium,1.0
g__Pedobacter,1.0
g__Pedosphaera,1.0
g__Pelagibaca,4.0
g__Pelagibacterium,1.0
g__Penicillium,5.0
g__Peptostreptococcaceae_noname,606.0
g__Perkinsus,70.0
g__Phyllobacterium,5.0
