genus,reads
g__Methylophilus,95.0
g__Methylopila,5.0
g__Methylotenera,20.0
g__Methyloversatilis,32.0
g__Microbacterium,177.0
g__Micrococcus,514.0
g__Microlunatus,1.0
g__Micromonospora,3.0
g__Microvirga,11.0
g__Moraxella,1.0
g__Moritella,11.0
g__Mucispirillum,16291.0
g__Myceliophthora,124.0
g__Mycobacterium,67.0
g__Myroides,1.0
g__Nakamurella,5.0
g__Naumovozyma,1.0
g__Neisseria,33.0
g__Neospora,4.0
g__Nesterenkonia,51.0
g__Neurospora,1.0
g__Nevskia,3.0
g__Nitratireductor,10.0
g__Nitrobacter,6.0
g__Nitrococcus,1.0
g__Nitrosomonas,2.0
g__Nitrosospira,1.0
g__Nitrospira,2.0
g__Nocardioides,8.0
g__Nocardiopsis,11.0
g__Nonomuraea,4.0
g__Novosphingobium,109.0
g__Oceanibaculum,4.0
g__Ochrobactrum,11.0
g__Odoribacter,4.0
g__Oligotropha,20.0
g__Opitutaceae_noname,23.0
g__Opitutus,30.0
g__Oribacterium,1.0
g__Ornithinimicrobium,2.0
g__Oscillatoria,4.0
g__Oscillibacter,3.0
g__Oxalobacteraceae_noname,10.0
g__Paenibacillus,6.0
g__Pannonibacter,1.0
g__Pantoea,35.0
g__Parabacteroides,493076.0
g__Paracoccidioides,1.0
g__Paracoccus,58.0
g__Paramecium,1.0
g__Paraprevotella,44.0
g__Parastagonospora,6.0
g__Parvibaculum,1.0
g__Parvimonas,2.0
g__Patulibacter,1.0
g__Pedobacter,22.0
g__Pedosphaera,1.0
g__Pelagibacterium,1.0
g__Peptostreptococcaceae_noname,49.0
g__Perkinsus,79.0
g__Phaeospirillum,4.0
g__Phenylobacterium,15.0
g__Phyllobacterium,18.0
g__Plasmodium,2088.0
g__Plesiocystis,1.0
g__Podospora,4.0
g__Polaribacter,1.0
g__Polaromonas,80.0
g__Polynucleobacter,35.0
g__Porphyrobacter,43.0
g__Porphyromonas,44.0
g__Prevotella,265.0
