GeneID,RPK,taxa
UniRef90_K6AQ86|g__Parabacteroides.s__Parabacteroides_goldsteinii,370.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BB15|g__Parabacteroides.s__Parabacteroides_goldsteinii,368.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,363.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A2J2|g__Parabacteroides.s__Parabacteroides_goldsteinii,363.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N1ZJP4|g__Clostridium.s__Clostridium_sp_ASF356,361.0,g__Clostridium.s__Clostridium_sp_ASF356
UniRef90_K6AUG3|g__Parabacteroides.s__Parabacteroides_goldsteinii,360.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AU03|g__Parabacteroides.s__Parabacteroides_goldsteinii,355.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZZ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,354.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZDG3|g__Parabacteroides.s__Parabacteroides_goldsteinii,347.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LA57|g__Parabacteroides.s__Parabacteroides_goldsteinii,341.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AX53|g__Parabacteroides.s__Parabacteroides_goldsteinii,331.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUL5|g__Parabacteroides.s__Parabacteroides_goldsteinii,328.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZRH9|g__Parabacteroides.s__Parabacteroides_goldsteinii,323.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZBF8|g__Parabacteroides.s__Parabacteroides_goldsteinii,321.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZNM3|g__Parabacteroides.s__Parabacteroides_goldsteinii,321.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ARM6|g__Parabacteroides.s__Parabacteroides_goldsteinii,319.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B0W2|g__Parabacteroides.s__Parabacteroides_goldsteinii,319.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WVL3|g__Parabacteroides.s__Parabacteroides_goldsteinii,316.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YTJ8|g__Parabacteroides.s__Parabacteroides_goldsteinii,315.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,314.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUF0|g__Parabacteroides.s__Parabacteroides_goldsteinii,314.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1K1|g__Parabacteroides.s__Parabacteroides_goldsteinii,313.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LEI6|g__Parabacteroides.s__Parabacteroides_goldsteinii,311.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B728|g__Parabacteroides.s__Parabacteroides_goldsteinii,309.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y627|g__Parabacteroides.s__Parabacteroides_goldsteinii,308.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B053|g__Parabacteroides.s__Parabacteroides_goldsteinii,308.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ATC1|g__Parabacteroides.s__Parabacteroides_goldsteinii,307.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZXP2|g__Parabacteroides.s__Parabacteroides_goldsteinii,305.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZZN3|g__Parabacteroides.s__Parabacteroides_goldsteinii,302.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z1Z9|g__Parabacteroides.s__Parabacteroides_goldsteinii,301.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A5M2|g__Parabacteroides.s__Parabacteroides_goldsteinii,297.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YUH6|g__Parabacteroides.s__Parabacteroides_goldsteinii,296.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B722|g__Parabacteroides.s__Parabacteroides_goldsteinii,296.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B0F9|g__Parabacteroides.s__Parabacteroides_goldsteinii,295.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B0G6|g__Parabacteroides.s__Parabacteroides_goldsteinii,295.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YVP9|g__Parabacteroides.s__Parabacteroides_goldsteinii,294.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZNZ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,294.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YR74|g__Parabacteroides.s__Parabacteroides_goldsteinii,293.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGQ2|g__Parabacteroides.s__Parabacteroides_goldsteinii,293.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZNZ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,292.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AUV6|g__Parabacteroides.s__Parabacteroides_goldsteinii,292.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
