taxa,RPK,length,read_count
g__Clostridium.s__Clostridium_sp_ASF356,34597.0,2106609,34923.586000000076
g__Escherichia.s__Escherichia_coli,6188.0,1287795,5129.78699999998
g__Lactobacillus.s__Lactobacillus_murinus,2214.0,349530,1940.5050000000008
g__Mucispirillum.s__Mucispirillum_schaedleri,14070.0,1405247,13331.093000000004
g__Parabacteroides.s__Parabacteroides_goldsteinii,387836.0,4510952,336032.01699999726
unclassified,64797.99999999177,632029,44090.28830231625
