taxa,reads
g__Anaeromyxobacter.s__Anaeromyxobacter_sp_Fw109_5,15.0
g__Anaerostipes.s__Anaerostipes_caccae,7018.0
g__Anaerostipes.s__Anaerostipes_hadrus,2.0
g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA,1.0
g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012,6.0
g__Ancylobacter.s__Ancylobacter_sp_FA202,1.0
g__Arenimonas.s__Arenimonas_oryziterrae,2.0
g__Arthrobacter.s__Arthrobacter_arilaitensis,2.0
g__Arthrobacter.s__Arthrobacter_crystallopoietes,3.0
g__Arthrobacter.s__Arthrobacter_globiformis,1.0
g__Arthrobacter.s__Arthrobacter_phenanthrenivorans,2.0
g__Arthrobacter.s__Arthrobacter_sp_131MFCol6_1,1.0
g__Arthrobacter.s__Arthrobacter_sp_135MFCol5_1,1.0
g__Arthrobacter.s__Arthrobacter_sp_161MFSha2_1,5.0
g__Arthrobacter.s__Arthrobacter_sp_M2012083,1.0
g__Arthroderma.s__Arthroderma_benhamiae,1.0
g__Arthrospira.s__Arthrospira_platensis,1.0
g__Aspergillus.s__Aspergillus_clavatus,14.0
g__Aspergillus.s__Aspergillus_flavus,2.0
g__Aspergillus.s__Aspergillus_oryzae,12.0
g__Asticcacaulis.s__Asticcacaulis_benevestitus,5.0
g__Asticcacaulis.s__Asticcacaulis_biprosthecium,1.0
g__Asticcacaulis.s__Asticcacaulis_excentricus,106.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC460,7.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC466,1.0
g__Asticcacaulis.s__Asticcacaulis_sp_YBE204,1.0
g__Aurantimonas.s__Aurantimonas_manganoxydans,6.0
g__Aureimonas.s__Aureimonas_ureilytica,1.0
g__Azoarcus.s__Azoarcus_sp_BH72,10.0
g__Azoarcus.s__Azoarcus_sp_KH32C,1.0
g__Azoarcus.s__Azoarcus_toluclasticus,10.0
g__Azorhizobium.s__Azorhizobium_caulinodans,13.0
g__Azospira.s__Azospira_oryzae,2.0
g__Azospirillum.s__Azospirillum_brasilense,3.0
g__Azotobacter.s__Azotobacter_vinelandii,1.0
g__Babesia.s__Babesia_bovis,7.0
g__Bacillus.s__Bacillus_alcalophilus,7.0
g__Bacillus.s__Bacillus_anthracis,9.0
g__Bacillus.s__Bacillus_azotoformans,7.0
g__Bacillus.s__Bacillus_cereus_thuringiensis,12.0
g__Bacillus.s__Bacillus_coahuilensis,4.0
g__Bacillus.s__Bacillus_licheniformis,1.0
g__Bacillus.s__Bacillus_smithii,1.0
g__Bacillus.s__Bacillus_sp_2_A_57_CT2,10.0
g__Bacillus.s__Bacillus_sp_5B6,1.0
g__Bacillus.s__Bacillus_sp_916,1.0
g__Bacillus.s__Bacillus_sp_EGD_AK10,1.0
g__Bacillus.s__Bacillus_sp_FJAT_13831,1.0
g__Bacillus.s__Bacillus_sp_JC63,12.0
g__Bacillus.s__Bacillus_sp_WBUNB004,1.0
g__Bacillus.s__Bacillus_subtilis,2.0
g__Bacteroidales_noname.s__Bacteroidales_bacterium_ph8,1.0
g__Bacteroides.s__Bacteroides_caccae,5254.0
g__Bacteroides.s__Bacteroides_clarus,29.0
g__Bacteroides.s__Bacteroides_coprocola,4116.0
g__Bacteroides.s__Bacteroides_dorei,18.0
g__Bacteroides.s__Bacteroides_eggerthii,9.0
g__Bacteroides.s__Bacteroides_faecis,40.0
g__Bacteroides.s__Bacteroides_finegoldii,218.0
g__Bacteroides.s__Bacteroides_fluxus,3.0
g__Bacteroides.s__Bacteroides_fragilis,694.0
g__Bacteroides.s__Bacteroides_intestinalis,5.0
g__Bacteroides.s__Bacteroides_massiliensis,70.0
g__Bacteroides.s__Bacteroides_nordii,19.0
g__Bacteroides.s__Bacteroides_oleiciplenus,29.0
g__Bacteroides.s__Bacteroides_ovatus,74.0
g__Bacteroides.s__Bacteroides_plebeius,322.0
g__Bacteroides.s__Bacteroides_pyogenes,15.0
g__Bacteroides.s__Bacteroides_salyersiae,75.0
g__Bacteroides.s__Bacteroides_sp_1_1_14,9.0
g__Bacteroides.s__Bacteroides_sp_1_1_30,2.0
g__Bacteroides.s__Bacteroides_sp_1_1_6,2.0
g__Bacteroides.s__Bacteroides_sp_2_1_16,30.0
g__Bacteroides.s__Bacteroides_sp_2_1_22,29.0
g__Bacteroides.s__Bacteroides_sp_2_1_33B,2093.0
g__Bacteroides.s__Bacteroides_sp_2_1_56FAA,47.0
g__Bacteroides.s__Bacteroides_sp_2_1_7,15.0
g__Bacteroides.s__Bacteroides_sp_2_2_4,44.0
g__Bacteroides.s__Bacteroides_sp_3_1_19,96.0
g__Bacteroides.s__Bacteroides_sp_3_1_23,24.0
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,262.0
g__Bacteroides.s__Bacteroides_sp_3_1_40A,5.0
g__Bacteroides.s__Bacteroides_sp_4_1_36,30.0
g__Bacteroides.s__Bacteroides_sp_4_3_47FAA,4.0
g__Bacteroides.s__Bacteroides_sp_9_1_42FAA,44.0
g__Bacteroides.s__Bacteroides_sp_D1,1.0
g__Bacteroides.s__Bacteroides_sp_D2,5.0
g__Bacteroides.s__Bacteroides_sp_D20,55.0
g__Bacteroides.s__Bacteroides_sp_D22,3.0
g__Bacteroides.s__Bacteroides_sp_HPS0048,3.0
g__Bacteroides.s__Bacteroides_stercoris,17.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,144.0
g__Bacteroides.s__Bacteroides_uniformis,1827.0
g__Bacteroides.s__Bacteroides_vulgatus,1051.0
g__Bacteroides.s__Bacteroides_xylanisolvens,105.0
g__Barnesiella.s__Barnesiella_intestinihominis,1903.0
g__Bifidobacterium.s__Bifidobacterium_breve,11.0
g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,1.0
g__Bilophila.s__Bilophila_wadsworthia,7.0
g__Blastococcus.s__Blastococcus_saxobsidens,1.0
g__Blastomonas.s__Blastomonas_sp_AAP53,17.0
g__Blastomonas.s__Blastomonas_sp_CACIA14H2,125.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,24.0
g__Blautia.s__Blautia_hansenii,107.0
g__Blautia.s__Blautia_hydrogenotrophica,10.0
g__Blautia.s__Blautia_producta,9353.0
g__Blautia.s__Blautia_sp_KLE_1732,35.0
g__Blautia.s__Ruminococcus_gnavus,194.0
g__Blautia.s__Ruminococcus_obeum,1250.0
g__Blautia.s__Ruminococcus_torques,3728.0
g__Bordetella.s__Bordetella_pertussis,2.0
g__Bordetella.s__Bordetella_petrii,7.0
g__Bordetella.s__Bordetella_sp_FB_8,2.0
g__Botryotinia.s__Botryotinia_fuckeliana,25.0
g__Brachybacterium.s__Brachybacterium_muris,13.0
g__Brachybacterium.s__Brachybacterium_paraconglomeratum,35.0
g__Brachymonas.s__Brachymonas_chironomi,7.0
g__Bradyrhizobiaceae_noname.s__Bradyrhizobiaceae_bacterium_SG_6C,46.0
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,84.0
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,139.0
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,323.0
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,30.0
g__Bradyrhizobium.s__Bradyrhizobium_sp,13.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,14.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,110.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1,103.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_278,19.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_285,14.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_375,25.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321,129.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_STM_3843,35.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253,104.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM471,46.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681,71.0
g__Brevibacterium.s__Brevibacterium_casei,40.0
g__Brevibacterium.s__Brevibacterium_sp_JC43,3.0
g__Brevundimonas.s__Brevundimonas_diminuta,19.0
g__Brevundimonas.s__Brevundimonas_sp_BAL3,13.0
g__Brevundimonas.s__Brevundimonas_subvibrioides,18.0
g__Brucella.s__Brucella_ceti,2.0
g__Brucella.s__Brucella_pinnipedialis,1.0
g__Brucella.s__Brucella_sp_F23_97,1.0
g__Brucella.s__Brucella_suis,29.0
g__Burkholderia.s__Burkholderia_ambifaria,10.0
g__Burkholderia.s__Burkholderia_bryophila,2.0
g__Burkholderia.s__Burkholderia_cenocepacia,52.0
g__Burkholderia.s__Burkholderia_cepacia,5.0
g__Burkholderia.s__Burkholderia_gladioli,9.0
g__Burkholderia.s__Burkholderia_graminis,1.0
g__Burkholderia.s__Burkholderia_lata,46.0
g__Burkholderia.s__Burkholderia_multivorans,20.0
g__Burkholderia.s__Burkholderia_phymatum,5.0
g__Burkholderia.s__Burkholderia_pyrrocinia,4.0
g__Burkholderia.s__Burkholderia_sp_CCGE1001,1.0
g__Burkholderia.s__Burkholderia_sp_CCGE1002,1.0
g__Burkholderia.s__Burkholderia_sp_Ch1_1,4.0
g__Burkholderia.s__Burkholderia_sp_H160,1.0
g__Burkholderia.s__Burkholderia_sp_JPY251,1.0
g__Burkholderia.s__Burkholderia_sp_JPY347,1.0
g__Burkholderia.s__Burkholderia_sp_KJ006,8.0
g__Burkholderia.s__Burkholderia_sp_TJI49,2.0
g__Burkholderia.s__Burkholderia_sp_WSM4176,1.0
g__Burkholderia.s__Burkholderia_ubonensis,4.0
g__Burkholderia.s__Burkholderia_vietnamiensis,3.0
g__Burkholderia.s__Burkholderia_xenovorans,8.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_JOSHI_001,32.0
g__Butyricicoccus.s__Butyricicoccus_pullicaecorum,1.0
g__Butyricimonas.s__Butyricimonas_synergistica,14.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,11.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,7.0
g__Caldimonas.s__Caldimonas_manganoxidans,62.0
g__Campylobacter.s__Campylobacter_fetus,1.0
g__Campylobacter.s__Campylobacter_jejuni,13.0
g__Campylobacter.s__Campylobacter_sp_03_427,1.0
g__Candida.s__Candida_albicans,35.0
g__Candida.s__Candida_dubliniensis,1.0
g__Candidatus_Saccharibacteria_noname.s__candidate_division_TM7_single_cell_isolate_TM7c,3.0
g__Candidatus_Sulcia.s__Candidatus_Sulcia_muelleri,1.0
g__Capnocytophaga.s__Capnocytophaga_granulosa,1.0
