taxa,RPK
g__Clostridium.s__Clostridium_sp_ASF356,34597.0
g__Escherichia.s__Escherichia_coli,6188.0
g__Lactobacillus.s__Lactobacillus_murinus,2214.0
g__Mucispirillum.s__Mucispirillum_schaedleri,14070.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,387836.0
