Taxonomy,Length,Reads,RPK
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_;s_[Eubacterium] rectale,1755,43,53.65566037735849
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Fermentimonas;s_Fermentimonas caenicola,19640,72,50.99796946522274
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides vulgatus,36294,44,50.47055754594542
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Elizabethkingia;s_Elizabethkingia miricola,2673,36,46.81794470526865
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium columnare,171,8,46.783625730994146
root;k_Bacteria;p_Firmicutes,16164,22,45.94041553109262
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Capnocytophaga;s_Capnocytophaga haemolytica,4189,73,45.87375854368698
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus nealsonii,381,10,45.62770562770562
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium botulinum,7350,57,44.43523107680486
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides xylanisolvens,28791,42,42.632440371751244
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,43881,36,42.44364820728642
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Barnesiellaceae;g_Barnesiella;s_Barnesiella viscericola,17899,18,36.518713002556126
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium FC3,283,9,31.80212014134276
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Orbales;f_Orbaceae;g_Frischella;s_Frischella perrara,981,29,29.561671763506627
root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium Contig18770,1632,45,27.573529411764707
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus pentosus,1752,23,27.559903887236054
root;k_Bacteria;p_Thermotogae;c_Thermotogae;o_Petrotogales;f_;g_Marinitoga;s_Marinitoga piezophila,1056,29,27.46212121212121
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides salanitronis,29124,33,26.920638423372235
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus ruminis,10374,26,26.600147064122122
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pandoraea;s_Pandoraea apista,1335,32,23.970037453183522
root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,9202,17,23.65439141793054
root;k_Bacteria;p_Proteobacteria,25062,17,23.631841485073505
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus equi,171,4,23.391812865497073
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia,606,7,23.102310231023104
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus,2542,15,22.483524808060526
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Prolixibacteraceae;g_Draconibacterium;s_Draconibacterium orientale,10205,8,21.964911030046316
root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Thiotrichaceae;g_Thioploca;s_Thioploca ingrica,441,5,21.64179104477612
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus,2814,10,21.493825797986485
root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Fibrella;s_Fibrella aestuarina,3018,63,20.87475149105368
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Nonlabens;s_Nonlabens marinus,630,13,20.634920634920636
root;k_Bacteria;p_Firmicutes;c_Bacilli,6487,8,19.5854767082763
root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Cellulosilyticum;s_Cellulosilyticum lentocellum,15129,15,19.47414129987466
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus ginsenosidimutans,1056,7,19.04997525977239
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Brevibacillus;s_Brevibacillus laterosporus,1179,21,17.811704834605596
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae,510,5,17.78694968553459
root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus cereus,1185,21,17.72151898734177
root;k_Bacteria;p_Cyanobacteria;c_;o_;f_;g_;s_uncultured cyanobacterium,432,3,17.36111111111111
root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Robiginitalea;s_Robiginitalea biformata,3216,7,16.738505023649587
root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Petrimonas;s_Petrimonas mucosa,7305,7,16.709932773138824
