taxa,RPK,length,read_count
g__Gammaretrovirus.s__Spleen_focus_forming_virus,15.0,2901,16.911
g__Mucispirillum.s__Mucispirillum_schaedleri,619.0,333696,666.5310000000012
g__Parabacteroides.s__Parabacteroides_goldsteinii,27307.0,2841308,21365.254000000034
unclassified,137381.99999999854,1072990,101998.76794645557
