taxa,reads
g__Burkholderia.s__Burkholderia_sp_KJ006,1.0
g__Butyricimonas.s__Butyricimonas_synergistica,2.0
g__Butyrivibrio.s__Butyrivibrio_crossotus,1.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,6.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,11.0
g__Campylobacter.s__Campylobacter_jejuni,2.0
g__Candidatus_Regiella.s__Candidatus_Regiella_insecticola,1.0
g__Candidatus_Sulcia.s__Candidatus_Sulcia_muelleri,2.0
g__Capnocytophaga.s__Capnocytophaga_sputigena,1.0
g__Carnobacterium.s__Carnobacterium_maltaromaticum,443.0
g__Caulobacter.s__Caulobacter_segnis,4.0
g__Caulobacter.s__Caulobacter_sp_AP07,1.0
g__Caulobacter.s__Caulobacter_sp_JGI_0001010_J14,1.0
g__Caulobacter.s__Caulobacter_sp_K31,4.0
g__Caulobacter.s__Caulobacter_vibrioides,8.0
g__Cellulosilyticum.s__Cellulosilyticum_lentocellum,1.0
g__Cellvibrio.s__Cellvibrio_japonicus,1.0
g__Centipeda.s__Centipeda_periodontii,2.0
g__Chlamydia.s__Chlamydia_psittaci,75.0
g__Citrobacter.s__Citrobacter_rodentium,1.0
g__Citromicrobium.s__Citromicrobium_sp_JLT1363,1.0
g__Clostridiales_noname.s__Bacteroides_pectinophilus,1.0
g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA,224.0
g__Clostridium.s__Clostridium_asparagiforme,1.0
g__Clostridium.s__Clostridium_bolteae,75.0
g__Clostridium.s__Clostridium_botulinum,436.0
g__Clostridium.s__Clostridium_butyricum,2.0
g__Clostridium.s__Clostridium_citroniae,2.0
g__Clostridium.s__Clostridium_clostridioforme,27.0
g__Clostridium.s__Clostridium_colicanis,1.0
g__Clostridium.s__Clostridium_hathewayi,2.0
g__Clostridium.s__Clostridium_hylemonae,1.0
g__Clostridium.s__Clostridium_leptum,30.0
g__Clostridium.s__Clostridium_methylpentosum,4.0
g__Clostridium.s__Clostridium_papyrosolvens,9.0
g__Clostridium.s__Clostridium_perfringens,9.0
g__Clostridium.s__Clostridium_scindens,143.0
g__Clostridium.s__Clostridium_sp_ASF356,8418.0
g__Clostridium.s__Clostridium_sp_ASF502,1.0
g__Clostridium.s__Clostridium_sp_BL8,8.0
g__Clostridium.s__Clostridium_sp_D5,2.0
g__Clostridium.s__Clostridium_sp_KLE_1755,5.0
g__Clostridium.s__Clostridium_sp_L2_50,190.0
g__Clostridium.s__Clostridium_sp_M62_1,76.0
g__Clostridium.s__Clostridium_sp_SS2_1,201.0
g__Clostridium.s__Clostridium_sp_SY8519,24.0
g__Clostridium.s__Clostridium_symbiosum,1.0
g__Clostridium.s__Clostridium_tetani,1.0
g__Clostridium.s__Clostridium_thermocellum,1.0
g__Collinsella.s__Collinsella_stercoris,1.0
g__Coprobacter.s__Coprobacter_fastidiosus,4295.0
g__Coprococcus.s__Coprococcus_catus,1.0
g__Coprococcus.s__Coprococcus_comes,1.0
g__Coprococcus.s__Coprococcus_eutactus,102.0
g__Coprococcus.s__Coprococcus_sp_HPP0048,1.0
g__Corynebacterium.s__Corynebacterium_accolens,2.0
g__Corynebacterium.s__Corynebacterium_kroppenstedtii,3.0
g__Corynebacterium.s__Corynebacterium_pseudogenitalium,3.0
g__Corynebacterium.s__Corynebacterium_sp_KPL1817,1.0
g__Corynebacterium.s__Corynebacterium_tuberculostearicum,1.0
g__Cupriavidus.s__Cupriavidus_metallidurans,1.0
g__Cupriavidus.s__Cupriavidus_sp_HMR_1,1.0
g__Curvibacter.s__Curvibacter_lanceolatus,9.0
g__Delftia.s__Delftia_acidovorans,1.0
g__Delftia.s__Delftia_sp_Cs1_4,1.0
g__Desulfitobacterium.s__Desulfitobacterium_dehalogenans,2.0
g__Desulfobacca.s__Desulfobacca_acetoxidans,1.0
g__Desulfosporosinus.s__Desulfosporosinus_youngiae,1.0
g__Dickeya.s__Dickeya_zeae,2.0
g__Dictyostelium.s__Dictyostelium_purpureum,1.0
g__Dietzia.s__Dietzia_sp_UCD_THP,2.0
g__Dorea.s__Dorea_formicigenerans,2.0
g__Dorea.s__Dorea_longicatena,134.0
g__Dorea.s__Dorea_sp_5_2,28.0
g__Duganella.s__Duganella_zoogloeoides,2.0
g__Dysgonomonas.s__Dysgonomonas_gadei,1.0
g__Edwardsiella.s__Edwardsiella_ictaluri,2.0
g__Edwardsiella.s__Edwardsiella_tarda,1.0
g__Elizabethkingia.s__Elizabethkingia_anophelis,4.0
g__Enhydrobacter.s__Enhydrobacter_aerosaccus,1.0
g__Enterococcus.s__Enterococcus_avium,2.0
g__Enterococcus.s__Enterococcus_casseliflavus,8.0
g__Enterococcus.s__Enterococcus_cecorum,19.0
g__Enterococcus.s__Enterococcus_columbae,2.0
g__Enterococcus.s__Enterococcus_durans,1.0
g__Enterococcus.s__Enterococcus_faecalis,708.0
g__Enterococcus.s__Enterococcus_faecium,17.0
g__Enterococcus.s__Enterococcus_mundtii,23.0
g__Enterococcus.s__Enterococcus_raffinosus,8.0
g__Erwinia.s__Erwinia_billingiae,1.0
g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae,9.0
g__Escherichia.s__Escherichia_coli,23.0
g__Escherichia.s__Escherichia_sp_1_1_43,6.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,22.0
g__Escherichia.s__Escherichia_sp_4_1_40B,19.0
g__Escherichia.s__Escherichia_sp_TW09276,1.0
g__Escherichia.s__Escherichia_sp_TW09308,2.0
g__Escherichia.s__Escherichia_sp_TW10509,3.0
g__Eubacterium.s__Eubacterium_cellulosolvens,1.0
g__Eubacterium.s__Eubacterium_hallii,1.0
g__Eubacterium.s__Eubacterium_plexicaudatum,2.0
g__Eubacterium.s__Eubacterium_ramulus,2.0
g__Eubacterium.s__Eubacterium_rectale,2.0
g__Eubacterium.s__Eubacterium_sp_14_2,2443.0
g__Eubacterium.s__Eubacterium_ventriosum,355.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,33.0
g__Finegoldia.s__Finegoldia_magna,8.0
g__Flavobacteriaceae_noname.s__Flavobacteriaceae_bacterium_HQM9,1.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_2A,5.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,4.0
g__Flavobacterium.s__Flavobacterium_cauense,1.0
g__Fluviicola.s__Fluviicola_taffensis,1.0
g__Fusobacterium.s__Fusobacterium_gonidiaformans,1.0
g__Fusobacterium.s__Fusobacterium_nucleatum,3.0
g__Gemmata.s__Gemmata_obscuriglobus,1.0
g__Gemmatimonas.s__Gemmatimonas_aurantiaca,1.0
g__Gluconacetobacter.s__Gluconacetobacter_sp_SXCC_1,1.0
g__Gordonia.s__Gordonia_namibiensis,1.0
g__Haemophilus.s__Haemophilus_parasuis,2.0
g__Halomonas.s__Halomonas_titanicae,1.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,51.0
g__Hoeflea.s__Hoeflea_sp_108,1.0
g__Hydrogenivirga.s__Hydrogenivirga_sp_128_5_R1_1,1.0
g__Hydrogenophaga.s__Hydrogenophaga_sp_PBC,1.0
g__Ideonella.s__Ideonella_sp_B508_1,2.0
g__Janthinobacterium.s__Janthinobacterium_sp_CG3,2.0
g__Janthinobacterium.s__Janthinobacterium_sp_HH01,2.0
g__Johnsonella.s__Johnsonella_ignava,1.0
g__Klebsiella.s__Klebsiella_oxytoca,1.0
g__Klebsiella.s__Klebsiella_pneumoniae,2.0
g__Klebsiella.s__Klebsiella_sp_OBRC7,1.0
g__Kocuria.s__Kocuria_rhizophila,1.0
g__Kocuria.s__Kocuria_sp_UCD_OTCP,1.0
g__Lachnoanaerobaculum.s__Lachnoanaerobaculum_saburreum,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_4_56FAA,4.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_46FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,10.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,21.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,2.0
g__Lactobacillus.s__Lactobacillus_animalis,88.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,7.0
g__Lactobacillus.s__Lactobacillus_crispatus,46.0
g__Lactobacillus.s__Lactobacillus_fermentum,15.0
g__Lactobacillus.s__Lactobacillus_gasseri,1.0
g__Lactobacillus.s__Lactobacillus_jensenii,113.0
g__Lactobacillus.s__Lactobacillus_murinus,1080.0
g__Lactobacillus.s__Lactobacillus_plantarum,3.0
g__Lactobacillus.s__Lactobacillus_reuteri,6.0
g__Lactobacillus.s__Lactobacillus_rhamnosus,2.0
g__Lactobacillus.s__Lactobacillus_salivarius,3.0
g__Lactobacillus.s__Lactobacillus_sp_66c,2.0
g__Lactococcus.s__Lactococcus_garvieae,1.0
g__Lactococcus.s__Lactococcus_lactis,5.0
g__Legionella.s__Legionella_longbeachae,1.0
g__Legionella.s__Legionella_pneumophila,4.0
g__Leishmania.s__Leishmania_major,3.0
g__Leishmania.s__Leishmania_mexicana,1.0
g__Leptonema.s__Leptonema_illini,1.0
