GeneID,RPK
UniRef90_K6ATV7|g__Parabacteroides.s__Parabacteroides_goldsteinii,40.0
UniRef90_K6A6V5|g__Parabacteroides.s__Parabacteroides_goldsteinii,39.0
UniRef90_K5Z513|g__Parabacteroides.s__Parabacteroides_goldsteinii,38.0
UniRef90_K5ZUP3|g__Parabacteroides.s__Parabacteroides_goldsteinii,38.0
UniRef90_K5YMS5|g__Parabacteroides.s__Parabacteroides_goldsteinii,37.0
UniRef90_K6A8H0|g__Parabacteroides.s__Parabacteroides_goldsteinii,37.0
UniRef90_K6A2W8|g__Parabacteroides.s__Parabacteroides_goldsteinii,36.0
UniRef90_K5YE63|g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0
UniRef90_K5ZLD1|g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0
UniRef90_A6LID6|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0
UniRef90_K5ZA22|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0
UniRef90_K5ZDQ1|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0
UniRef90_K5ZRL7|g__Parabacteroides.s__Parabacteroides_goldsteinii,34.0
UniRef90_A6L9B8|g__Parabacteroides.s__Parabacteroides_goldsteinii,33.0
UniRef90_K5ZTC0|g__Parabacteroides.s__Parabacteroides_goldsteinii,33.0
UniRef90_R7DIS8|g__Parabacteroides.s__Parabacteroides_goldsteinii,33.0
UniRef90_A6LD11|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0
UniRef90_K5YYL3|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0
UniRef90_K5Z035|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0
UniRef90_K5ZL03|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0
UniRef90_R6WWE4|g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0
UniRef90_K5ZYR5|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0
UniRef90_K6AI55|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0
UniRef90_R5DA56|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0
UniRef90_R6WQD6|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0
UniRef90_R7JA67|g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0
UniRef90_K5YVJ6|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_K5Z1Z5|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_K5Z605|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_K5ZJY9|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_K5ZL16|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
UniRef90_K6AI16|g__Parabacteroides.s__Parabacteroides_goldsteinii,30.0
