GeneID,RPK,taxa
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,5054.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5KP23|g__Blautia.s__Ruminococcus_torques,4907.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5KRL0|g__Blautia.s__Ruminococcus_torques,3620.0,g__Blautia.s__Ruminococcus_torques
UniRef90_UPI0001532979|g__Blautia.s__Ruminococcus_torques,3327.0,g__Blautia.s__Ruminococcus_torques
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,3491.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,23.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_A5KR94|g__Blautia.s__Ruminococcus_torques,2404.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5Z2Z6|g__Blautia.s__Ruminococcus_torques,1412.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5KR92|g__Blautia.s__Ruminococcus_torques,1404.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5KMC2|g__Blautia.s__Ruminococcus_torques,1030.0,g__Blautia.s__Ruminococcus_torques
UniRef90_B5CLP5|g__Blautia.s__Ruminococcus_torques,750.0,g__Blautia.s__Ruminococcus_torques
UniRef90_N2B405|g__Parabacteroides.s__Parabacteroides_goldsteinii,453.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A7B6K2|g__Blautia.s__Ruminococcus_torques,381.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5KR91|g__Blautia.s__Ruminococcus_torques,338.0,g__Blautia.s__Ruminococcus_torques
UniRef90_K6AGA7|g__Parabacteroides.s__Parabacteroides_goldsteinii,308.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AYS9|g__Parabacteroides.s__Parabacteroides_goldsteinii,228.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A5KRI2|g__Blautia.s__Ruminococcus_torques,219.0,g__Blautia.s__Ruminococcus_torques
UniRef90_D4VKI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,210.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,199.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU07|g__Parabacteroides.s__Parabacteroides_goldsteinii,185.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AQ86|g__Parabacteroides.s__Parabacteroides_goldsteinii,164.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LE88|g__Parabacteroides.s__Parabacteroides_goldsteinii,158.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_Q5L7N5|g__Parabacteroides.s__Parabacteroides_goldsteinii,143.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2ASE1|g__Parabacteroides.s__Parabacteroides_goldsteinii,132.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XBD7|g__Parabacteroides.s__Parabacteroides_goldsteinii,132.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X5K9|g__Parabacteroides.s__Parabacteroides_goldsteinii,131.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZBK6|g__Parabacteroides.s__Parabacteroides_goldsteinii,129.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WQ56|g__Parabacteroides.s__Parabacteroides_goldsteinii,127.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCN4|g__Parabacteroides.s__Parabacteroides_goldsteinii,122.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,116.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
