GeneID,RPK,taxa
UNMAPPED|UNMAPPED,1418697.0,UNMAPPED
UniRef90_V1EAX6|unclassified,153147.0,unclassified
UniRef90_D1KAJ3|unclassified,16226.4931800349,unclassified
UniRef90_A8RZB5|unclassified,8580.6619028873,unclassified
UniRef90_A7AJP8|unclassified,7913.4455417751005,unclassified
UniRef90_D0TKA0|unclassified,7338.2954911381,unclassified
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii,5054.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_S0GJR7|unclassified,44.523516392299996,unclassified
UniRef90_A5KP23|g__Blautia.s__Ruminococcus_torques,4907.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A7ACF2|unclassified,4602.8324082933,unclassified
UniRef90_A5ZLI4|unclassified,4048.4041099983,unclassified
UniRef90_A5KRL0|g__Blautia.s__Ruminococcus_torques,3620.0,g__Blautia.s__Ruminococcus_torques
UniRef90_UPI0001532979|g__Blautia.s__Ruminococcus_torques,3327.0,g__Blautia.s__Ruminococcus_torques
UniRef90_UPI0001532979|unclassified,252.64493643330002,unclassified
UniRef90_B5CUP9|unclassified,3547.9467575078,unclassified
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_goldsteinii,3491.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_unknown|g__Mucispirillum.s__Mucispirillum_schaedleri,23.0,g__Mucispirillum.s__Mucispirillum_schaedleri
UniRef90_UPI000156FA79|unclassified,2745.8967264551998,unclassified
UniRef90_A5ZQM1|unclassified,2515.7255019181,unclassified
UniRef90_A5KR94|g__Blautia.s__Ruminococcus_torques,2404.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5KR94|unclassified,20.0499805115,unclassified
UniRef90_R9J210|unclassified,2341.6472043749,unclassified
UniRef90_A7AJP9|unclassified,2223.0,unclassified
UniRef90_B1QRR6|unclassified,2166.9197828204997,unclassified
UniRef90_S7K4H7|unclassified,1590.8040261429999,unclassified
UniRef90_B3C522|unclassified,1497.3731095112,unclassified
UniRef90_A5Z2Z6|g__Blautia.s__Ruminococcus_torques,1412.0,g__Blautia.s__Ruminococcus_torques
UniRef90_A5KR92|g__Blautia.s__Ruminococcus_torques,1404.0,g__Blautia.s__Ruminococcus_torques
UniRef90_W8YEK8|unclassified,1262.0,unclassified
UniRef90_K0WTB3|unclassified,1254.1356196530999,unclassified
UniRef90_A7VD49|unclassified,1198.4017488375,unclassified
UniRef90_A7B5X1|unclassified,1112.4556884899,unclassified
UniRef90_G9S8W7|unclassified,1108.9642897245,unclassified
UniRef90_W1YU10|unclassified,1105.7611960601,unclassified
UniRef90_E0XVH4|unclassified,1097.0,unclassified
UniRef90_W1WT70|unclassified,1034.9388787304,unclassified
UniRef90_A5KMC2|g__Blautia.s__Ruminococcus_torques,1030.0,g__Blautia.s__Ruminococcus_torques
UniRef90_UPI0001DE5DFE|unclassified,991.4836298641001,unclassified
UniRef90_D9UEL3|unclassified,929.3527956250999,unclassified
UniRef90_D1KAJ2|unclassified,896.9297867687,unclassified
