taxa,reads
g__Achromobacter.s__Achromobacter_piechaudii,1.0
g__Achromobacter.s__Achromobacter_xylosoxidans,2.0
g__Acidovorax.s__Acidovorax_citrulli,10.0
g__Acidovorax.s__Acidovorax_delafieldii,1.0
g__Acidovorax.s__Acidovorax_ebreus,4.0
g__Acidovorax.s__Acidovorax_radicis,4.0
g__Acidovorax.s__Acidovorax_sp_CF316,10.0
g__Acidovorax.s__Acidovorax_sp_JS42,3.0
g__Acidovorax.s__Acidovorax_sp_KKS102,13.0
g__Acidovorax.s__Acidovorax_sp_NO_1,3.0
g__Acinetobacter.s__Acinetobacter_baumannii,8.0
g__Acinetobacter.s__Acinetobacter_beijerinckii,1.0
g__Acinetobacter.s__Acinetobacter_johnsonii,12.0
g__Acinetobacter.s__Acinetobacter_lwoffii,4.0
g__Acinetobacter.s__Acinetobacter_parvus,1.0
g__Acinetobacter.s__Acinetobacter_radioresistens,3.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_101934,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_53_82,1.0
g__Acinetobacter.s__Acinetobacter_sp_CIP_70_18,2.0
g__Acinetobacter.s__Acinetobacter_sp_NIPH_1867,1.0
g__Acinetobacter.s__Acinetobacter_sp_P8_3_8,12.0
g__Acinetobacter.s__Acinetobacter_venetianus,1.0
g__Actinomyces.s__Actinomyces_odontolyticus,36.0
g__Actinomyces.s__Actinomyces_viscosus,3.0
g__Aeromicrobium.s__Aeromicrobium_sp_JC14,1.0
g__Aeromonas.s__Aeromonas_caviae,1.0
g__Aeromonas.s__Aeromonas_hydrophila,1.0
g__Aeromonas.s__Aeromonas_media,21.0
g__Aeromonas.s__Aeromonas_salmonicida,3.0
g__Aeromonas.s__Aeromonas_veronii,1.0
g__Afipia.s__Afipia_birgiae,1.0
g__Afipia.s__Afipia_broomeae,7.0
g__Afipia.s__Afipia_clevelandensis,2.0
g__Afipia.s__Afipia_felis,11.0
g__Agromyces.s__Agromyces_italicus,1.0
g__Albidiferax.s__Albidiferax_ferrireducens,1.0
g__Alcaligenes.s__Alcaligenes_sp_EGD_AK7,1.0
g__Alcanivorax.s__Alcanivorax_hongdengensis,4.0
g__Alcanivorax.s__Alcanivorax_pacificus,1.0
g__Alicycliphilus.s__Alicycliphilus_denitrificans,4.0
g__Alistipes.s__Alistipes_putredinis,1.0
g__Amycolatopsis.s__Amycolatopsis_nigrescens,1.0
g__Anaerococcus.s__Anaerococcus_hydrogenalis,1.0
g__Anaerostipes.s__Anaerostipes_caccae,170.0
g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA,1.0
g__Anaerotruncus.s__Anaerotruncus_colihominis,10.0
g__Arcobacter.s__Arcobacter_butzleri,2.0
g__Arthrobacter.s__Arthrobacter_chlorophenolicus,1.0
g__Arthrobacter.s__Arthrobacter_sp_161MFSha2_1,3.0
g__Aspergillus.s__Aspergillus_clavatus,1.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC402,1.0
g__Asticcacaulis.s__Asticcacaulis_sp_AC460,1.0
