GeneID,RPK,taxa
UniRef90_K5ZUN2|g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YUI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZBK6|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUC5|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6ATV7|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AX94|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BJ19|g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6L9B8|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2BCA3|g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZJY9|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZU12|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DFT6|g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YZ96|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZBY7|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGI3|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZL03|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A3T3|g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2AUT8|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_D4VKI7|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZGJ0|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZUN5|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6XD50|g__Parabacteroides.s__Parabacteroides_goldsteinii,16.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6L8E0|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LID6|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y7V3|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYD5|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYN1|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AUL6|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R5DKF9|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6X4I3|g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YYL3|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZHP0|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZP27|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZRS8|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A9H5|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B3F1|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6Y7R4|g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y8F0|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZLD1|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYB1|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WQD6|g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y257|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Z064|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZP71|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZTC0|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZVM8|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5ZYJ6|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A017|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6A1B3|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AM59|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AMZ7|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K6AYR2|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_N2B6P7|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R6WWE4|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_R7DIS8|g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6L915|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_A6LD11|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y8F4|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5Y8I3|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
UniRef90_K5YLZ5|g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0,g__Parabacteroides.s__Parabacteroides_goldsteinii
