taxa,reads
g__Erysipelotrichaceae_noname.s__Eubacterium_dolichum,14.0
g__Escherichia.s__Escherichia_coli,5.0
g__Escherichia.s__Escherichia_sp_1_1_43,6.0
g__Escherichia.s__Escherichia_sp_3_2_53FAA,8.0
g__Escherichia.s__Escherichia_sp_4_1_40B,5.0
g__Escherichia.s__Escherichia_sp_TW10509,1.0
g__Eubacterium.s__Eubacterium_sp_14_2,3.0
g__Eubacterium.s__Eubacterium_ventriosum,373.0
g__Faecalibacterium.s__Faecalibacterium_prausnitzii,30.0
g__Fervidobacterium.s__Fervidobacterium_pennivorans,1.0
g__Finegoldia.s__Finegoldia_magna,16.0
g__Flavobacteriia_noname.s__Flavobacteria_bacterium_MS024_3C,1.0
g__Fusobacterium.s__Fusobacterium_gonidiaformans,3.0
g__Fusobacterium.s__Fusobacterium_nucleatum,5.0
g__Heliobacterium.s__Heliobacterium_modesticaldum,18.0
g__Ilumatobacter.s__Ilumatobacter_coccineus,1.0
g__Johnsonella.s__Johnsonella_ignava,1.0
g__Klebsiella.s__Klebsiella_pneumoniae,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,2.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA,12.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_6_1_63FAA,9.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA,1.0
g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA,22.0
g__Lactobacillus.s__Lactobacillus_animalis,46.0
g__Lactobacillus.s__Lactobacillus_casei_paracasei,2.0
g__Lactobacillus.s__Lactobacillus_crispatus,14.0
g__Lactobacillus.s__Lactobacillus_fermentum,5.0
g__Lactobacillus.s__Lactobacillus_jensenii,12.0
g__Lactobacillus.s__Lactobacillus_murinus,356.0
g__Lactobacillus.s__Lactobacillus_plantarum,2.0
g__Lactobacillus.s__Lactobacillus_reuteri,3.0
g__Lactobacillus.s__Lactobacillus_salivarius,5.0
g__Leptosphaeria.s__Leptosphaeria_maculans,3.0
g__Leptospira.s__Leptospira_interrogans,1.0
g__Leptotrichia.s__Leptotrichia_hofstadii,4.0
g__Limnohabitans.s__Limnohabitans_sp_Rim28,1.0
g__Limnohabitans.s__Limnohabitans_sp_Rim47,1.0
g__Listeria.s__Listeria_grayi,3.0
g__Listeria.s__Listeria_innocua,541.0
g__Listeria.s__Listeria_monocytogenes,72.0
g__Marinilabilia.s__Marinilabilia_salmonicolor,1.0
g__Massilia.s__Massilia_timonae,1.0
g__Mesorhizobium.s__Mesorhizobium_ciceri,1.0
g__Mesorhizobium.s__Mesorhizobium_loti,4.0
g__Mesorhizobium.s__Mesorhizobium_metallidurans,1.0
g__Microbacterium.s__Microbacterium_laevaniformans,1.0
g__Mucispirillum.s__Mucispirillum_schaedleri,322.0
g__Myceliophthora.s__Myceliophthora_thermophila,1.0
g__Myxococcus.s__Myxococcus_fulvus,1.0
g__Opitutaceae_noname.s__Opitutaceae_bacterium_TAV1,1.0
g__Paenibacillus.s__Paenibacillus_barengoltzii,2.0
g__Paenibacillus.s__Paenibacillus_lactis,228.0
g__Paenibacillus.s__Paenibacillus_sp_ICGEB2008,2.0
g__Paenibacillus.s__Paenibacillus_sp_oral_taxon_786,2.0
g__Parabacteroides.s__Parabacteroides_distasonis,8.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,4362.0
g__Parabacteroides.s__Parabacteroides_johnsonii,1.0
g__Parabacteroides.s__Parabacteroides_merdae,718.0
g__Parabacteroides.s__Parabacteroides_sp_20_3,2.0
g__Parabacteroides.s__Parabacteroides_sp_ASF519,5373.0
g__Parabacteroides.s__Parabacteroides_sp_D13,18.0
g__Paraprevotella.s__Paraprevotella_clara,75.0
g__Parvimonas.s__Parvimonas_micra,14.0
g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii,86.0
g__Peptostreptococcaceae_noname.s__Clostridium_difficile,2.0
g__Peptostreptococcaceae_noname.s__Clostridium_hiranonis,6.0
g__Peptostreptococcaceae_noname.s__Clostridium_sordellii,1.0
g__Persephonella.s__Persephonella_marina,1.0
g__Plasmodium.s__Plasmodium_berghei,20.0
g__Plasmodium.s__Plasmodium_chabaudi,4.0
g__Plasmodium.s__Plasmodium_yoelii,12.0
g__Polaromonas.s__Polaromonas_sp_CF318,1.0
g__Porphyromonas.s__Porphyromonas_cansulci,1.0
g__Porphyromonas.s__Porphyromonas_crevioricanis,50.0
g__Porphyromonas.s__Porphyromonas_gingivalis,5.0
g__Prevotella.s__Prevotella_amnii,3.0
g__Prevotella.s__Prevotella_buccae,1.0
g__Prevotella.s__Prevotella_histicola,160.0
g__Prevotella.s__Prevotella_nigrescens,2.0
g__Prevotella.s__Prevotella_oris,5.0
g__Prevotella.s__Prevotella_sp_oral_taxon_317,1.0
g__Prevotella.s__Prevotella_timonensis,1.0
g__Prevotella.s__Prevotella_veroralis,25.0
g__Propionibacterium.s__Propionibacterium_acnes,36.0
g__Propionibacterium.s__Propionibacterium_sp_434_HC2,2.0
g__Propionibacterium.s__Propionibacterium_sp_KPL1849,2.0
g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus,3.0
g__Pseudomonas.s__Pseudomonas_putida,2.0
g__Pseudomonas.s__Pseudomonas_syringae,4.0
g__Pseudoramibacter.s__Pseudoramibacter_alactolyticus,2.0
g__Pseudovibrio.s__Pseudovibrio_sp_JE062,4.0
g__Rhodococcus.s__Rhodococcus_opacus,1440.0
g__Rhodococcus.s__Rhodococcus_wratislaviensis,5.0
g__Rhodopseudomonas.s__Rhodopseudomonas_palustris,2.0
g__Rhodospirillales_noname.s__Reyranella_massiliensis,3.0
g__Rhodospirillum.s__Rhodospirillum_photometricum,4.0
g__Rothia.s__Rothia_dentocariosa,1.0
g__Ruminococcus.s__Ruminococcus_lactaris,13.0
g__Ruminococcus.s__Ruminococcus_sp_JC304,4.0
g__Scheffersomyces.s__Scheffersomyces_stipitis,1.0
g__Shigella.s__Shigella_boydii,2.0
g__Shigella.s__Shigella_dysenteriae,2.0
g__Shigella.s__Shigella_sonnei,1.0
g__Shigella.s__Shigella_sp_D9,3.0
g__Singularimonas.s__Singularimonas_variicoloris,2.0
g__Sphingopyxis.s__Sphingopyxis_sp_MC1,2.0
g__Staphylococcus.s__Staphylococcus_aureus,25.0
g__Staphylococcus.s__Staphylococcus_epidermidis,8.0
g__Stenotrophomonas.s__Stenotrophomonas_maltophilia,2.0
g__Streptococcus.s__Streptococcus_agalactiae,18.0
g__Streptococcus.s__Streptococcus_australis,1.0
g__Streptococcus.s__Streptococcus_salivarius,31.0
g__Streptococcus.s__Streptococcus_sobrinus,11.0
g__Streptococcus.s__Streptococcus_sp_I_P16,1.0
g__Streptomyces.s__Streptomyces_sp_e14,1.0
g__Sutterella.s__Sutterella_parvirubra,1.0
g__Sutterella.s__Sutterella_wadsworthensis,1.0
g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1,1775.0
g__Tetrasphaera.s__Tetrasphaera_elongata,3.0
g__Thalassiosira.s__Thalassiosira_pseudonana,11.0
g__Thermosinus.s__Thermosinus_carboxydivorans,1.0
g__Vibrio.s__Vibrio_alginolyticus,1.0
g__Vibrio.s__Vibrio_cholerae,18.0
g__Vibrio.s__Vibrio_sp_HENC_02,1.0
g__Xanthomonas.s__Xanthomonas_fuscans,1.0
g__Zymoseptoria.s__Zymoseptoria_tritici,2.0
