uniref90,taxa,RPK
UniRef90_D0TKA0,unclassified,24183.4080028465
UniRef90_A7ACF2,unclassified,20957.7094039211
UniRef90_V1EAX6,unclassified,20643.0
UniRef90_B5CUP9,unclassified,18288.889032168998
UniRef90_A7AJP9,unclassified,18223.6945650932
UniRef90_A5ZLI4,unclassified,10850.9279466712
UniRef90_D1KAJ3,unclassified,10288.611657888001
UniRef90_K0WTB3,unclassified,9793.1531628534
UniRef90_A0A015S3B6,unclassified,7147.0
UniRef90_UPI000156FA79,unclassified,7104.6505627924
UniRef90_S0GJR7,g__Parabacteroides.s__Parabacteroides_goldsteinii,5602.0
UniRef90_S0GJR7,unclassified,321.0
UniRef90_G9S8W7,unclassified,5131.5609695349
UniRef90_G5SMU9,unclassified,4246.9771327034005
UniRef90_A8RZB5,unclassified,4174.8455595563
UniRef90_UPI00015BEA70,unclassified,3896.1821101337
UniRef90_UPI00019656B7,unclassified,3400.9611497646
UniRef90_UPI00019660E0,unclassified,3393.2526764077
UniRef90_A7AJP8,unclassified,3138.6454961505
UniRef90_A7UXY7,unclassified,3122.3510153653
UniRef90_UPI0001E48A46,unclassified,2591.6107165017
UniRef90_G7SQ06,unclassified,2540.4639615767
UniRef90_B3C522,unclassified,2253.7126447818
UniRef90_D4CI29,unclassified,1752.0
UniRef90_E0XVH4,unclassified,1741.0
UniRef90_A7B5X1,unclassified,1650.4282886555
UniRef90_A7VD49,unclassified,1568.5860826303
UniRef90_unknown,g__Parabacteroides.s__Parabacteroides_goldsteinii,1542.0
UniRef90_A5ZQM1,unclassified,1484.8900043615
UniRef90_D1KAJ2,unclassified,1461.3194501357
UniRef90_A5KRL1,unclassified,1364.0992444500998
UniRef90_Q5C0F6,unclassified,1322.4894372687
UniRef90_A5ZLI2,unclassified,1314.9005760717998
UniRef90_UPI0001DA96E4,unclassified,1273.6329913185
UniRef90_A5ZYU0,unclassified,1256.7276295806
UniRef90_R9J210,unclassified,1188.6681971653
UniRef90_UPI000185C9BD,unclassified,1175.1238751645
UniRef90_B0NWG2,unclassified,1138.0002444128
UniRef90_A5ZYU6,unclassified,1112.7521620269001
UniRef90_S7K4H7,unclassified,1077.349188416
UniRef90_B1A1E2,unclassified,1034.6896629674
UniRef90_D5GZ89,unclassified,963.5133238094
UniRef90_W1YU10,unclassified,961.8392898765
UniRef90_A0A016JHV3,unclassified,954.0
UniRef90_A5ZYV5,unclassified,926.6918448009
UniRef90_C1BRN8,unclassified,919.0824163381
UniRef90_A5Z511,unclassified,909.3631388750999
UniRef90_W1YRV6,unclassified,865.3153641046001
UniRef90_A7LQH0,unclassified,850.6221911168
UniRef90_W1WT70,unclassified,848.5678281636999
UniRef90_A5KR94,unclassified,808.5632831365
UniRef90_E9RZN0,unclassified,789.0
UniRef90_B0NEX9,unclassified,781.8953966445
UniRef90_A7VEU0,unclassified,780.3322375957001
UniRef90_W8YNF3,unclassified,762.4848287663001
UniRef90_B1QRR6,unclassified,750.9445965267
UniRef90_UPI0001DE5DFE,unclassified,732.8167500625999
UniRef90_A5ZQM3,unclassified,709.4113588299001
UniRef90_A0A015WK49,unclassified,688.4262093472
UniRef90_A5ZYV7,unclassified,661.4738996814
