taxa,reads
g__Bacteroides.s__Bacteroides_sp_2_1_33B,1619.0
g__Bacteroides.s__Bacteroides_sp_2_1_56FAA,26.0
g__Bacteroides.s__Bacteroides_sp_2_1_7,11.0
g__Bacteroides.s__Bacteroides_sp_2_2_4,111.0
g__Bacteroides.s__Bacteroides_sp_3_1_19,4.0
g__Bacteroides.s__Bacteroides_sp_3_1_23,23.0
g__Bacteroides.s__Bacteroides_sp_3_1_33FAA,3257.0
g__Bacteroides.s__Bacteroides_sp_3_1_40A,3.0
g__Bacteroides.s__Bacteroides_sp_4_1_36,24.0
g__Bacteroides.s__Bacteroides_sp_4_3_47FAA,2.0
g__Bacteroides.s__Bacteroides_sp_9_1_42FAA,18.0
g__Bacteroides.s__Bacteroides_sp_D2,1.0
g__Bacteroides.s__Bacteroides_sp_D20,24.0
g__Bacteroides.s__Bacteroides_sp_D22,5.0
g__Bacteroides.s__Bacteroides_sp_HPS0048,3.0
g__Bacteroides.s__Bacteroides_stercoris,114.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,48.0
g__Bacteroides.s__Bacteroides_uniformis,570.0
g__Bacteroides.s__Bacteroides_vulgatus,589.0
g__Bacteroides.s__Bacteroides_xylanisolvens,156.0
g__Barnesiella.s__Barnesiella_intestinihominis,1534.0
g__Bdellovibrio.s__Bdellovibrio_bacteriovorus,1.0
g__Bifidobacterium.s__Bifidobacterium_adolescentis,1.0
g__Bifidobacterium.s__Bifidobacterium_breve,5.0
g__Bilophila.s__Bilophila_sp_4_1_30,1.0
g__Blastomonas.s__Blastomonas_sp_CACIA14H2,1.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,5.0
g__Blautia.s__Blautia_hansenii,172.0
g__Blautia.s__Blautia_hydrogenotrophica,4.0
g__Blautia.s__Blautia_producta,8537.0
g__Blautia.s__Blautia_sp_KLE_1732,13.0
g__Blautia.s__Ruminococcus_gnavus,273.0
g__Blautia.s__Ruminococcus_obeum,1501.0
g__Blautia.s__Ruminococcus_torques,2115.0
g__Bordetella.s__Bordetella_holmesii,2.0
g__Botryotinia.s__Botryotinia_fuckeliana,129.0
g__Brachybacterium.s__Brachybacterium_muris,5.0
g__Brachybacterium.s__Brachybacterium_paraconglomeratum,4.0
g__Brachybacterium.s__Brachybacterium_squillarum,1.0
g__Brachyspira.s__Brachyspira_innocens,2.0
g__Bradyrhizobiaceae_noname.s__Bradyrhizobiaceae_bacterium_SG_6C,8.0
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,41.0
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,10.0
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,39.0
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp,3.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,4.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1,14.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_278,3.0
