taxa,reads
g__Bacteroides.s__Bacteroides_stercoris,2.0
g__Bacteroides.s__Bacteroides_thetaiotaomicron,1.0
g__Bacteroides.s__Bacteroides_uniformis,100.0
g__Bacteroides.s__Bacteroides_vulgatus,75.0
g__Bacteroides.s__Bacteroides_xylanisolvens,6.0
g__Barnesiella.s__Barnesiella_intestinihominis,430.0
g__Bifidobacterium.s__Bifidobacterium_adolescentis,1.0
g__Bifidobacterium.s__Bifidobacterium_breve,3.0
g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,2.0
g__Blastomonas.s__Blastomonas_sp_CACIA14H2,1.0
g__Blattabacterium.s__Blattabacterium_sp_Nauphoeta_cinerea,75.0
g__Blautia.s__Blautia_hansenii,67.0
g__Blautia.s__Blautia_hydrogenotrophica,3.0
g__Blautia.s__Blautia_producta,1304.0
g__Blautia.s__Blautia_sp_KLE_1732,1.0
g__Blautia.s__Ruminococcus_gnavus,342.0
g__Blautia.s__Ruminococcus_obeum,3285.0
g__Blautia.s__Ruminococcus_torques,6008.0
g__Bordetella.s__Bordetella_bronchiseptica_parapertussis,3.0
g__Botryotinia.s__Botryotinia_fuckeliana,4.0
g__Brachybacterium.s__Brachybacterium_muris,7.0
g__Brachybacterium.s__Brachybacterium_paraconglomeratum,3.0
g__Bradyrhizobiaceae_noname.s__Bradyrhizobiaceae_bacterium_SG_6C,29.0
g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens,25.0
g__Bradyrhizobium.s__Bradyrhizobium_elkanii,29.0
g__Bradyrhizobium.s__Bradyrhizobium_japonicum,80.0
g__Bradyrhizobium.s__Bradyrhizobium_oligotrophicum,45.0
g__Bradyrhizobium.s__Bradyrhizobium_sp,3.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1,7.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001,11.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1,80.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_278,10.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_285,7.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_375,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321,25.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_STM_3843,2.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253,1.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM471,6.0
g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681,59.0
g__Brevibacterium.s__Brevibacterium_massiliense,1.0
g__Brevundimonas.s__Brevundimonas_diminuta,18.0
g__Brevundimonas.s__Brevundimonas_sp_BAL3,1.0
g__Brevundimonas.s__Brevundimonas_subvibrioides,9.0
g__Brucella.s__Brucella_pinnipedialis,2.0
g__Brucella.s__Brucella_suis,4.0
g__Burkholderia.s__Burkholderia_lata,1.0
g__Burkholderia.s__Burkholderia_multivorans,3.0
g__Burkholderia.s__Burkholderia_oklahomensis,1.0
g__Burkholderia.s__Burkholderia_phytofirmans,2.0
g__Burkholderia.s__Burkholderia_sp_KJ006,1.0
g__Burkholderia.s__Burkholderia_terrae,4.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47,3.0
g__Burkholderiales_noname.s__Burkholderiales_bacterium_JOSHI_001,2.0
g__Butyricicoccus.s__Butyricicoccus_pullicaecorum,1.0
g__Butyrivibrio.s__Butyrivibrio_fibrisolvens,1.0
g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum,9.0
g__Caldanaerobacter.s__Caldanaerobacter_subterraneus,37.0
g__Campylobacter.s__Campylobacter_jejuni,17.0
g__Candidatus_Chloracidobacterium.s__Candidatus_Chloracidobacterium_thermophilum,1.0
g__Candidatus_Phytoplasma.s__Candidatus_Phytoplasma_australiense,1.0
