English name,number of reads
Clostridium ASF356,119289
Clostridium ASF502,8182
Eubacterium Plexicaudatum ASF492,978
Firmicutes ASF500,15
Lactobacillus ASF360,10
Lactobacillus Murinus ASF361,4897
Mucispirillum Schaedleri ASF457,27199
Parabacteroides ASF519,526030
mapped reads,686600
unmapped reads,2244751
