English name,number of reads
Clostridium ASF356,86641
Clostridium ASF502,28214
Eubacterium Plexicaudatum ASF492,9954
Firmicutes ASF500,252
Lactobacillus ASF360,3074
Lactobacillus Murinus ASF361,15604
Mucispirillum Schaedleri ASF457,10511
Parabacteroides ASF519,715655
mapped reads,869905
unmapped reads,500592
