English name,number of reads
Clostridium ASF356,53784
Clostridium ASF502,12767
Eubacterium Plexicaudatum ASF492,4672
Firmicutes ASF500,113
Lactobacillus ASF360,1465
Lactobacillus Murinus ASF361,11815
Mucispirillum Schaedleri ASF457,8383
Parabacteroides ASF519,381195
mapped reads,474194
unmapped reads,1105178
