English name,number of reads
Clostridium ASF356,165458
Clostridium ASF502,14569
Eubacterium Plexicaudatum ASF492,6547
Firmicutes ASF500,92
Lactobacillus ASF360,1371
Lactobacillus Murinus ASF361,5025
Mucispirillum Schaedleri ASF457,25304
Parabacteroides ASF519,276435
mapped reads,494801
unmapped reads,2640400
