English name,number of reads
Clostridium ASF356,84487
Clostridium ASF502,8748
Eubacterium Plexicaudatum ASF492,684
Firmicutes ASF500,7
Lactobacillus ASF360,22
Lactobacillus Murinus ASF361,2634
Mucispirillum Schaedleri ASF457,11612
Parabacteroides ASF519,192960
mapped reads,301154
unmapped reads,1720542
