English name,number of reads
Clostridium ASF356,98656
Clostridium ASF502,15237
Eubacterium Plexicaudatum ASF492,8241
Firmicutes ASF500,74
Lactobacillus ASF360,972
Lactobacillus Murinus ASF361,9489
Mucispirillum Schaedleri ASF457,28832
Parabacteroides ASF519,310965
mapped reads,472466
unmapped reads,1248471
