English name,number of reads
Clostridium ASF356,67159
Clostridium ASF502,3137
Eubacterium Plexicaudatum ASF492,1505
Firmicutes ASF500,28
Lactobacillus ASF360,78
Lactobacillus Murinus ASF361,1611
Mucispirillum Schaedleri ASF457,11043
Parabacteroides ASF519,103148
mapped reads,187709
unmapped reads,2058585
