English name,number of reads
Clostridium ASF356,132896
Clostridium ASF502,5095
Eubacterium Plexicaudatum ASF492,2373
Firmicutes ASF500,50
Lactobacillus ASF360,354
Lactobacillus Murinus ASF361,2488
Mucispirillum Schaedleri ASF457,39992
Parabacteroides ASF519,231899
mapped reads,415147
unmapped reads,2261677
