English name,number of reads
Clostridium ASF356,199935
Clostridium ASF502,16504
Eubacterium Plexicaudatum ASF492,7935
Firmicutes ASF500,53
Lactobacillus ASF360,767
Lactobacillus Murinus ASF361,9772
Mucispirillum Schaedleri ASF457,29196
Parabacteroides ASF519,476392
mapped reads,740554
unmapped reads,1781906
