English name,number of reads
Clostridium ASF356,94117
Clostridium ASF502,9197
Eubacterium Plexicaudatum ASF492,3761
Firmicutes ASF500,52
Lactobacillus ASF360,484
Lactobacillus Murinus ASF361,10260
Mucispirillum Schaedleri ASF457,28110
Parabacteroides ASF519,446516
mapped reads,592497
unmapped reads,1753306
