English name,number of reads
Clostridium ASF356,125095
Clostridium ASF502,10774
Eubacterium Plexicaudatum ASF492,5309
Firmicutes ASF500,68
Lactobacillus ASF360,843
Lactobacillus Murinus ASF361,3676
Mucispirillum Schaedleri ASF457,61738
Parabacteroides ASF519,485562
mapped reads,693065
unmapped reads,2394440
