Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
ec:4.2.1.19,,ec:2.3.1.9,,ec:4.2.1.11,ec:1.1.1.305,,ec:2.3.1.180,ec:6.3.2.1,ec:1.4.3.21,,ec:2.7.6.1,
ec:2.4.2.17,,ec:5.1.3.1,,ec:3.6.3.14,ec:2.1.1.13,,ec:1.1.1.94,ec:2.7.1.23,ec:3.4.11.2,,ec:2.4.2.8,
ec:5.4.99.5,,ec:2.3.1.157,,ec:6.4.1.1,ec:2.1.1.10,,ec:2.7.7.41,ec:2.8.1.4,ec:1.17.4.1,,ec:2.7.6.5,
ec:4.3.1.19,,ec:2.7.7.12,,ec:3.6.1.1,ec:2.1.1.14,,ec:3.2.1.18,ec:4.2.1.24,ec:2.7.7.4,,ec:2.1.3.2,
ec:4.3.1.18,,ec:5.3.1.4,,ec:3.1.3.11,ec:1.1.1.44,,ec:1.1.1.35,ec:1.2.1.70,ec:1.11.1.15,,ec:2.4.2.1,
ec:6.3.4.4,,ec:3.2.1.86,,ec:2.2.1.1,ec:1.4.1.13,,,ec:2.1.1.222,ec:3.2.1.21,,ec:3.1.3.5,
ec:2.6.1.16,,ec:2.4.1.21,,ec:2.5.1.47,ec:1.3.98.3,,,ec:2.1.2.9,ec:2.6.1.37,,ec:4.6.1.1,
ec:6.3.5.5,,ec:2.7.2.1,,ec:2.6.1.1,ec:1.1.5.4,,,ec:2.2.1.7,ec:6.3.2.4,,ec:3.5.1.110,
ec:2.3.3.13,,ec:4.2.1.11,,ec:2.7.1.11,ec:1.3.3.3,,,ec:2.10.1.1,ec:6.3.2.8,,ec:4.3.2.3,
ec:5.3.1.23,,ec:5.3.1.9,,ec:2.3.1.8,ec:1.2.1.10,,,ec:2.4.2.1,ec:1.1.1.49,,ec:2.7.7.8,
ec:4.3.1.17,,ec:2.4.1.1,,ec:2.7.9.2,ec:1.1.1.6,,,ec:3.1.4.14,ec:1.3.1.1,,ec:3.6.1.11,
ec:2.5.1.47,,ec:3.2.1.22,,ec:1.9.3.1,ec:1.3.1.9,,,ec:3.1.3.5,ec:2.5.1.16,,ec:3.1.3.6,
ec:4.2.1.20,,ec:2.6.1.16,,ec:4.2.1.3,ec:1.2.1.39,,,ec:2.1.1.13,,,ec:3.5.2.3,
ec:5.3.1.16,,ec:6.4.1.1,,ec:1.4.1.13,ec:1.2.1.71,,,ec:6.1.1.17,,,ec:1.17.4.1,
ec:2.6.1.1,,ec:2.3.3.13,,ec:3.1.2.12,ec:1.4.3.21,,,ec:1.3.98.3,,,ec:2.7.1.21,
ec:3.5.1.2,,ec:5.4.2.2,,ec:6.4.1.2,ec:1.4.4.2,,,ec:4.2.1.9,,,ec:1.7.1.7,
ec:1.5.1.2,,ec:2.4.1.25,,ec:4.2.1.2,ec:1.1.1.3,,,ec:2.3.1.47,,,ec:2.7.4.9,
ec:2.1.3.2,,ec:2.7.1.197,,ec:1.7.1.15,ec:1.2.4.2,,,ec:6.3.1.20,,,ec:2.7.7.4,
ec:4.1.1.17,,ec:3.1.3.11,,ec:1.3.1.84,ec:1.1.99.1,,,ec:2.5.1.3,,,ec:2.1.1.45,
ec:2.1.1.13,,ec:2.2.1.1,,ec:3.1.3.3,ec:1.1.1.22,,,ec:1.6.5.2,,,ec:4.1.1.23,
ec:2.1.1.10,,ec:2.7.1.15,,ec:1.1.1.29,ec:2.1.2.10,,,ec:6.3.3.3,,,ec:2.1.2.2,
ec:2.1.1.14,,ec:5.4.2.7,,ec:3.5.4.9,ec:1.1.1.29,,,ec:4.2.3.1,,,ec:2.7.4.25,
ec:2.7.2.4,,ec:1.1.1.17,,ec:1.1.1.37,ec:1.17.4.1,,,ec:3.1.3.2,,,ec:2.4.2.22,
ec:1.4.1.13,,ec:2.7.6.1,,ec:6.3.1.2,ec:1.1.1.37,,,ec:1.3.3.3,,,ec:2.7.4.6,
ec:4.2.1.9,,ec:2.7.1.11,,ec:1.3.5.1,ec:1.3.5.1,,,ec:1.16.3.1,,,ec:3.6.1.23,
ec:4.4.1.8,,ec:2.3.1.8,,ec:6.4.1.3,ec:1.2.1.41,,,ec:3.1.3.1,,,ec:3.5.4.3,
ec:2.3.1.1,,ec:5.1.3.2,,ec:5.4.99.2,ec:1.5.1.20,,,ec:2.1.2.10,,,ec:3.5.4.13,
ec:4.2.3.1,,ec:2.7.9.2,,ec:1.5.1.20,ec:1.1.1.193,,,ec:3.5.4.9,,,ec:2.7.1.73,
