genus,reads
g__Achromobacter,4.0
g__Acidovorax,131.0
g__Acinetobacter,2102.0
g__Actinobacillus,1.0
g__Actinobacteria_noname,14.0
g__Actinomyces,71.0
g__Actinoplanes,4.0
g__Aeromonas,8.0
g__Afipia,17.0
g__Agrobacterium,1.0
g__Alcaligenes,13.0
g__Alcanivorax,61.0
g__Alicycliphilus,5.0
g__Aliivibrio,6.0
g__Alistipes,1.0
g__Anaerococcus,2.0
g__Anaerostipes,300.0
g__Anaerotruncus,5.0
g__Arcobacter,2.0
g__Arcticibacter,2.0
g__Arthrobacter,4.0
g__Asticcacaulis,11.0
g__Aurantimonas,2.0
g__Azospira,8.0
g__Azospirillum,1.0
g__Babesia,21.0
g__Bacillus,98.0
g__Bacteroides,48597.0
g__Barnesiella,430.0
g__Bifidobacterium,6.0
g__Blastomonas,1.0
g__Blattabacterium,75.0
g__Blautia,11010.0
g__Bordetella,3.0
g__Botryotinia,4.0
g__Brachybacterium,10.0
g__Bradyrhizobiaceae_noname,29.0
g__Bradyrhizobium,391.0
g__Brevibacterium,1.0
g__Brevundimonas,28.0
g__Brucella,6.0
g__Burkholderia,12.0
g__Burkholderiales_noname,5.0
g__Butyricicoccus,1.0
g__Butyrivibrio,1.0
g__Caldalkalibacillus,9.0
g__Caldanaerobacter,37.0
g__Campylobacter,17.0
g__Candidatus_Chloracidobacterium,1.0
g__Candidatus_Phytoplasma,1.0
g__Candidatus_Regiella,28.0
g__Candidatus_Saccharibacteria_noname,6.0
g__Candidatus_Sulcia,1.0
g__Capnocytophaga,1.0
g__Carnobacterium,399.0
g__Catonella,3.0
g__Caulobacter,59.0
g__Centipeda,11.0
g__Chlamydia,263.0
g__Chryseobacterium,9.0
g__Citrobacter,3.0
g__Clavibacter,5.0
g__Clostridiales_noname,1.0
g__Clostridium,13540.0
g__Coccidioides,1.0
g__Collimonas,1.0
g__Comamonas,1.0
g__Coprobacter,7533.0
g__Coprococcus,316.0
g__Corynebacterium,102.0
g__Coxiella,13.0
g__Cronobacter,2.0
g__Cryocola,1.0
g__Cupriavidus,10.0
g__Curvibacter,29.0
g__Cyanothece,7.0
g__Cytophaga,10.0
g__Delftia,11.0
g__Desulfobacca,3.0
g__Dictyostelium,6.0
g__Dorea,177.0
g__Ectothiorhodospira,2.0
g__Edwardsiella,2.0
g__Elizabethkingia,144.0
g__Endoriftia,1.0
g__Enhydrobacter,2.0
g__Enterobacter,9.0
g__Enterococcus,679.0
g__Enterorhabdus,1.0
g__Erysipelothrix,35.0
g__Erysipelotrichaceae_noname,28.0
g__Escherichia,1342.0
g__Eubacterium,226.0
g__Faecalibacterium,100.0
g__Finegoldia,10.0
g__Flavobacteriia_noname,117.0
g__Flavobacterium,12.0
g__Fusobacterium,13.0
g__Gallibacterium,1.0
g__Gemmata,31.0
g__Gordonia,2.0
g__Haemophilus,1.0
g__Helicobacter,30.0
g__Heliobacterium,124.0
g__Herbaspirillum,2.0
g__Hoeflea,1.0
g__Humibacter,3.0
g__Hydrogenophaga,1.0
g__Hyphomicrobium,1.0
g__Ilumatobacter,1.0
g__Intrasporangium,3.0
g__Janibacter,1.0
g__Janthinobacterium,13.0
g__Klebsiella,8.0
g__Kocuria,5.0
g__Kosakonia,1.0
g__Laccaria,1.0
g__Lachnospiraceae_noname,782.0
g__Lactobacillus,689.0
g__Lactococcus,7.0
g__Leishmania,1.0
g__Leptosphaeria,53.0
g__Leptospira,1.0
g__Leptothrix,2.0
g__Leptotrichia,26.0
g__Leuconostoc,1.0
g__Limnohabitans,13.0
g__Listeria,45.0
g__Lutibaculum,2.0
g__Malassezia,69.0
g__Maricaulis,1.0
g__Marinilabilia,55.0
g__Massilia,3.0
g__Melioribacter,1.0
g__Mesorhizobium,179.0
g__Methylobacterium,81.0
g__Methylocystis,2.0
g__Methylotenera,2.0
g__Methyloversatilis,2.0
g__Microbacterium,13.0
g__Micrococcus,70.0
g__Microcystis,3.0
g__Microlunatus,1.0
g__Mucispirillum,1150.0
g__Myceliophthora,49.0
g__Mycobacterium,5.0
g__Mycoplasma,1.0
g__Myxococcus,1.0
g__Nakamurella,1.0
g__Naumovozyma,13.0
g__Neisseria,39.0
g__Niastella,1.0
g__Nitrobacter,2.0
g__Nitrosopumilus,3.0
g__Nocardioides,8.0
g__Novosphingobium,16.0
g__Ochrobactrum,2.0
g__Oxalobacteraceae_noname,4.0
g__Paenibacillus,818.0
g__Pantoea,1.0
g__Parabacteroides,35007.0
g__Paracoccus,10.0
g__Paraprevotella,26.0
g__Parvimonas,23.0
g__Pedosphaera,3.0
g__Pelosinus,12.0
g__Peptostreptococcaceae_noname,66.0
g__Perkinsus,59.0
g__Perlucidibaca,2.0
g__Phaeospirillum,1.0
g__Phenylobacterium,5.0
g__Plasmodium,434.0
g__Plesiocystis,4.0
g__Polaromonas,20.0
