taxa,reads
g__Streptococcus.s__Streptococcus_infantis,565916
g__Streptococcus.s__Streptococcus_anginosus,429512
g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae,3463771
g__Streptococcus.s__Streptococcus_parasanguinis,5503846
g__Veillonella.s__Veillonella_parvula,832270
g__Veillonella.s__Veillonella_dispar,147609
g__Granulicatella.s__Granulicatella_adiacens,309906
g__Veillonella.s__Veillonella_atypica,173600
g__Lactobacillus.s__Lactobacillus_fermentum,29058
